,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,day_of_week
0,2011-01-03,MSFT,28.04999923706055,28.18000030517578,27.920000076293945,27.979999542236328,22.420480728149414,53443800,Monday
1,2011-01-04,MSFT,27.940000534057614,28.170000076293945,27.85000038146973,28.09000015258789,22.50862693786621,54405600,Tuesday
2,2011-01-05,MSFT,27.899999618530273,28.01000022888184,27.770000457763672,28.0,22.436506271362305,58998700,Wednesday
3,2011-01-06,MSFT,28.040000915527344,28.85000038146973,27.86000061035156,28.81999969482422,23.09357643127441,88026300,Thursday
4,2011-01-07,MSFT,28.63999938964844,28.739999771118164,28.25,28.60000038146973,22.91728591918945,73762000,Friday
5,2011-01-08,MSFT,28.44999980926514,28.56999969482422,28.145000457763672,28.40999984741211,22.76503753662109,73762000,Saturday
6,2011-01-09,MSFT,28.44999980926514,28.56999969482422,28.145000457763672,28.40999984741211,22.76503753662109,73762000,Sunday
7,2011-01-10,MSFT,28.26000022888184,28.399999618530273,28.040000915527344,28.21999931335449,22.61278915405273,57573600,Monday
8,2011-01-11,MSFT,28.20000076293945,28.25,28.04999923706055,28.11000061035156,22.52465057373047,50298900,Tuesday
9,2011-01-12,MSFT,28.1200008392334,28.59000015258789,28.06999969482422,28.54999923706055,22.87723159790039,52631100,Wednesday
10,2011-01-13,MSFT,28.32999992370605,28.38999938964844,28.01000022888184,28.190000534057614,22.58874702453613,67077600,Thursday
11,2011-01-14,MSFT,28.07999992370605,28.3799991607666,27.90999984741211,28.29999923706055,22.67689323425293,62688400,Friday
12,2011-01-15,MSFT,28.09999990463257,28.469999313354492,27.96749973297119,28.389999389648438,22.749011993408203,62688400,Saturday
13,2011-01-16,MSFT,28.09999990463257,28.469999313354492,27.96749973297119,28.389999389648438,22.749011993408203,62688400,Sunday
14,2011-01-17,MSFT,28.119999885559082,28.559999465942383,28.024999618530273,28.479999542236328,22.821130752563477,62688400,Monday
15,2011-01-18,MSFT,28.15999984741211,28.739999771118164,28.13999938964844,28.65999984741211,22.965368270874023,53322700,Tuesday
16,2011-01-19,MSFT,28.459999084472656,28.68000030517578,28.270000457763672,28.46999931335449,22.8131160736084,50005900,Wednesday
17,2011-01-20,MSFT,28.5,28.54999923706055,28.1299991607666,28.35000038146973,22.71696472167969,58613600,Thursday
18,2011-01-21,MSFT,28.399999618530273,28.43000030517578,28.020000457763672,28.020000457763672,22.45253562927246,58080300,Friday
19,2011-01-22,MSFT,28.210000038146973,28.494999885559082,28.005000114440918,28.199999809265137,22.59677219390869,58080300,Saturday
20,2011-01-23,MSFT,28.210000038146973,28.494999885559082,28.005000114440918,28.199999809265137,22.59677219390869,58080300,Sunday
21,2011-01-24,MSFT,28.020000457763672,28.559999465942386,27.989999771118164,28.3799991607666,22.741008758544922,52047800,Monday
22,2011-01-25,MSFT,28.13999938964844,28.45000076293945,28.1200008392334,28.45000076293945,22.797100067138672,42436600,Tuesday
23,2011-01-26,MSFT,28.51000022888184,28.989999771118164,28.5,28.78000068664551,23.061527252197266,74628800,Wednesday
24,2011-01-27,MSFT,28.75,29.459999084472656,28.489999771118164,28.8700008392334,23.133642196655273,146938600,Thursday
25,2011-01-28,MSFT,28.899999618530273,28.93000030517578,27.45000076293945,27.75,22.23617553710937,141249400,Friday
26,2011-01-29,MSFT,28.335000038146973,28.414999961853027,27.4350004196167,27.739999771118164,22.228164672851562,141249400,Saturday
27,2011-01-30,MSFT,28.335000038146973,28.414999961853027,27.4350004196167,27.739999771118164,22.228164672851562,141249400,Sunday
28,2011-01-31,MSFT,27.770000457763672,27.899999618530273,27.420000076293945,27.729999542236328,22.22015380859375,65029000,Monday
29,2011-02-01,MSFT,27.79999923706055,28.059999465942386,27.61000061035156,27.989999771118164,22.428497314453125,62810700,Tuesday
30,2011-02-02,MSFT,27.93000030517578,28.11000061035156,27.8799991607666,27.940000534057614,22.388425827026367,45824000,Wednesday
