,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,day_of_week
0,2011-01-03,UNH,36.38000106811523,37.18000030517578,36.36999893188477,37.13000106811523,32.052383422851555,8212400,Monday
1,2011-01-04,UNH,37.02999877929688,37.5,36.83000183105469,37.47000122070313,32.345890045166016,6724300,Tuesday
2,2011-01-05,UNH,37.5,37.810001373291016,37.290000915527344,37.59000015258789,32.449478149414055,7528100,Wednesday
3,2011-01-06,UNH,37.959999084472656,38.400001525878906,37.7400016784668,38.36999893188477,33.12281036376953,7157300,Thursday
4,2011-01-07,UNH,38.38000106811523,38.540000915527344,38.04999923706055,38.45000076293945,33.19187545776367,6437700,Friday
5,2011-01-08,UNH,38.46000099182129,38.595001220703125,38.029998779296875,38.45000076293945,33.19187545776367,6437700,Saturday
6,2011-01-09,UNH,38.46000099182129,38.595001220703125,38.029998779296875,38.45000076293945,33.19187545776367,6437700,Sunday
7,2011-01-10,UNH,38.540000915527344,38.650001525878906,38.0099983215332,38.45000076293945,33.19187545776367,5725300,Monday
8,2011-01-11,UNH,38.52999877929688,39.099998474121094,38.34000015258789,39.08000183105469,33.73572158813477,5569100,Tuesday
9,2011-01-12,UNH,39.22999954223633,39.33000183105469,38.810001373291016,38.86000061035156,33.54580307006836,5872400,Wednesday
10,2011-01-13,UNH,39.27000045776367,39.599998474121094,38.93000030517578,39.599998474121094,34.18461227416992,8618200,Thursday
11,2011-01-14,UNH,39.47999954223633,40.900001525878906,39.40999984741211,40.77000045776367,35.194610595703125,10560400,Friday
12,2011-01-15,UNH,39.80749988555908,40.92250156402588,39.67500019073486,40.79750061035156,35.21834850311279,10560400,Saturday
13,2011-01-16,UNH,39.80749988555908,40.92250156402588,39.67500019073486,40.79750061035156,35.21834850311279,10560400,Sunday
14,2011-01-17,UNH,40.135000228881836,40.94500160217285,39.94000053405762,40.82500076293945,35.24208641052246,10560400,Monday
15,2011-01-18,UNH,40.790000915527344,40.9900016784668,40.47000122070313,40.88000106811523,35.2895622253418,6738900,Tuesday
16,2011-01-19,UNH,40.86999893188477,41.02000045776367,40.11000061035156,40.560001373291016,35.01332855224609,9424600,Wednesday
17,2011-01-20,UNH,40.0,40.5,39.36999893188477,40.310001373291016,34.79751968383789,11293100,Thursday
18,2011-01-21,UNH,40.58000183105469,40.59000015258789,40.13000106811523,40.40999984741211,34.883846282958984,7384200,Friday
19,2011-01-22,UNH,40.4950008392334,40.545000076293945,39.915000915527344,40.11000061035156,34.62486457824707,7384200,Saturday
20,2011-01-23,UNH,40.4950008392334,40.545000076293945,39.915000915527344,40.11000061035156,34.62486457824707,7384200,Sunday
21,2011-01-24,UNH,40.40999984741211,40.5,39.70000076293945,39.810001373291016,34.36588287353516,7604100,Monday
22,2011-01-25,UNH,39.68999862670898,41.0,39.650001525878906,40.61999893188477,35.06511688232422,10000100,Tuesday
23,2011-01-26,UNH,40.59000015258789,41.13000106811523,40.11000061035156,40.25,34.74573516845703,8937900,Wednesday
24,2011-01-27,UNH,40.93999862670898,42.41999816894531,40.43999862670898,42.290000915527344,36.506736755371094,13558000,Thursday
25,2011-01-28,UNH,42.310001373291016,42.43999862670898,40.86000061035156,40.93000030517578,35.332740783691406,7767400,Friday
26,2011-01-29,UNH,41.665000915527344,41.8799991607666,40.78499984741211,40.989999771118164,35.384531021118164,7767400,Saturday
27,2011-01-30,UNH,41.665000915527344,41.8799991607666,40.78499984741211,40.989999771118164,35.384531021118164,7767400,Sunday
28,2011-01-31,UNH,41.02000045776367,41.31999969482422,40.709999084472656,41.04999923706055,35.43632125854492,7320400,Monday
