,Company ticker,date,Year,Month,Quarter,Open,High,Low,Close,Adj Close,Volume,company_news,world_news,company_trends,Coronavirus,presidential election,Lockdown,Pandemic,Quarantine
0,MSFT,2012-05-18,2012,5,2,29.790000915527344,29.809999465942386,29.170000076293945,29.270000457763672,24.394805908203125,56205300.0,0.0777,-0.9165,56.09,0.0,0.88,0.8300000000000001,1.56,0.5700000000000001
1,MSFT,2012-05-19,2012,5,2,29.790000915527344,29.800000190734863,29.114999771118164,29.51000022888184,24.594834327697754,47496600.0,-0.0748,0.961,46.86,0.0,0.88,0.33,2.04,0.58
2,MSFT,2012-05-20,2012,5,2,29.790000915527344,29.800000190734863,29.114999771118164,29.51000022888184,24.594834327697754,47496600.0,-0.07593333333333334,0.857,47.57,0.0,0.9,0.53,1.38,0.61
3,MSFT,2012-05-21,2012,5,2,29.10000038146973,29.790000915527344,29.059999465942386,29.75,24.794862747192386,38787900.0,-0.0952,-0.8638,59.64,0.0,1.5,0.6,1.17,0.53
4,MSFT,2012-05-22,2012,5,2,29.690000534057607,29.8799991607666,29.5,29.76000022888184,24.803186416625977,39504900.0,-0.09633333333333334,0.9061,60.35,0.0,1.34,0.52,1.59,0.46
5,MSFT,2012-05-23,2012,5,2,29.35000038146973,29.399999618530273,28.63999938964844,29.11000061035156,24.261457443237305,65171000.0,-0.10086666666666667,0.9615,63.19,0.0,1.38,0.66,1.62,0.47
6,MSFT,2012-05-24,2012,5,2,29.15999984741211,29.29999923706055,28.76000022888184,29.06999969482422,24.22811508178711,52575000.0,-0.10086666666666667,-0.4319,63.19,0.0,1.36,0.61,1.35,0.44
7,MSFT,2012-05-25,2012,5,2,29.20000076293945,29.36000061035156,29.01000022888184,29.059999465942386,24.21977615356445,29507200.0,0.4832,0.912,52.54,0.0,1.22,0.76,1.86,0.32
8,MSFT,2012-05-26,2012,5,2,29.20000076293945,29.45000028610229,29.0625,29.184999465942386,24.323957443237305,31570100.0,0.3852540540540541,0.4972,41.89,0.0,0.68,0.37,1.98,0.54
9,MSFT,2012-05-27,2012,5,2,29.20000076293945,29.45000028610229,29.0625,29.184999465942386,24.323957443237305,31570100.0,0.3656648648648648,-0.9322,39.76,0.0,0.74,0.53,1.44,0.7000000000000001
10,MSFT,2012-05-28,2012,5,2,29.20000076293945,29.539999961853024,29.114999771118164,29.309999465942386,24.42813873291016,33633000.0,0.4309621621621621,-0.4368,46.86,0.0,0.8,0.73,0.93,0.59
11,MSFT,2012-05-29,2012,5,2,29.3799991607666,29.71999931335449,29.21999931335449,29.559999465942386,24.63650131225586,37758800.0,0.5680864864864864,-0.9711,61.77,0.0,0.94,0.5,1.47,0.8300000000000001
12,MSFT,2012-05-30,2012,5,2,29.35000038146973,29.479999542236328,29.1200008392334,29.34000015258789,24.453144073486328,41585500.0,0.5615567567567566,-0.9751,61.06,0.0,1.3,0.67,1.83,0.66
13,MSFT,2012-05-31,2012,5,2,29.29999923706055,29.420000076293945,28.940000534057607,29.190000534057607,24.32813262939453,39134000.0,0.5942054054054052,-0.9409,64.61,0.0,1.08,0.55,1.77,1.0
14,MSFT,2012-06-01,2012,6,2,28.76000022888184,28.959999084472656,28.440000534057607,28.45000076293945,23.71138572692871,56634300.0,0.1957,-0.8344,31.20000000000001,0.0,0.41,0.84,1.46,0.89
15,MSFT,2012-06-02,2012,6,2,28.76000022888184,28.86999988555908,28.38000011444092,28.5,23.753061294555664,52280300.0,0.14188249999999994,0.6113,22.62,0.0,0.23,0.84,1.94,1.0
16,MSFT,2012-06-03,2012,6,2,28.76000022888184,28.86999988555908,28.38000011444092,28.5,23.753061294555664,52280300.0,0.14677499999999996,-0.9835,23.4,0.0,0.43,0.31,1.86,0.73
17,MSFT,2012-06-04,2012,6,2,28.6200008392334,28.78000068664551,28.31999969482422,28.54999923706055,23.794736862182607,47926300.0,0.22994749999999994,-0.9535,36.66,0.0,0.52,0.8300000000000001,1.52,0.81
18,MSFT,2012-06-05,2012,6,2,28.51000022888184,28.75,28.38999938964844,28.51000022888184,23.76139259338379,45715400.0,0.225055,0.884,35.88,0.0,0.71,0.71,1.22,0.78
19,MSFT,2012-06-06,2012,6,2,28.8799991607666,29.3700008392334,28.809999465942386,29.35000038146973,24.46147727966309,46860500.0,-0.0972,-0.9295,35.1,0.0,1.0,0.55,1.32,0.48
20,MSFT,2012-06-07,2012,6,2,29.63999938964844,29.70000076293945,29.170000076293945,29.229999542236328,24.361461639404297,37792800.0,-0.09288,-0.9405,33.54,0.0,0.5,0.56,1.48,0.55
21,MSFT,2012-06-08,2012,6,2,29.209999084472656,29.68000030517578,29.04999923706055,29.649999618530273,24.71151161193848,42551100.0,-0.08208,-0.8584,29.64,0.0,0.4,0.55,1.88,0.44
22,MSFT,2012-06-09,2012,6,2,29.209999084472656,29.74499988555908,28.934999465942386,29.274999618530273,24.39897060394287,44456500.0,-0.06264,-0.445,22.62,0.0,0.33,0.87,1.62,0.58
23,MSFT,2012-06-10,2012,6,2,29.209999084472656,29.74499988555908,28.934999465942386,29.274999618530273,24.39897060394287,44456500.0,-0.06047999999999999,-0.9803,21.84,0.0,0.54,0.35000000000000003,1.14,0.5700000000000001
24,MSFT,2012-06-11,2012,6,2,29.729999542236328,29.809999465942386,28.81999969482422,28.899999618530273,24.086429595947266,46361900.0,-0.08640000000000002,0.9111,31.20000000000001,0.0,0.35000000000000003,0.49,1.5,0.42
25,MSFT,2012-06-12,2012,6,2,29.10000038146973,29.29999923706055,28.84000015258789,29.290000915527344,24.41147232055664,35337900.0,-0.09072000000000001,0.8929,32.76,0.0,0.39,0.51,1.06,0.5700000000000001
26,MSFT,2012-06-13,2012,6,2,29.21999931335449,29.440000534057607,29.04999923706055,29.1299991607666,24.278118133544922,32984600.0,0.1513,-0.9494,31.20000000000001,0.0,0.38,1.0,1.18,0.5700000000000001
27,MSFT,2012-06-14,2012,6,2,29.32999992370605,29.459999084472656,28.8799991607666,29.34000015258789,24.453144073486328,39458900.0,0.15886499999999995,0.9521,32.76,0.0,0.5,0.72,0.88,0.65
28,MSFT,2012-06-15,2012,6,2,29.59000015258789,30.07999992370605,29.489999771118164,30.020000457763672,25.019886016845703,62314400.0,0.15508249999999996,0.9095,31.98,0.0,0.6,0.62,1.4,0.44
29,MSFT,2012-06-16,2012,6,2,29.59000015258789,30.05500030517578,29.59999942779541,29.93000030517578,24.94487571716309,60497150.0,0.11347499999999995,-0.1122,23.4,0.0,0.45,0.89,1.06,0.59
30,MSFT,2012-06-17,2012,6,2,29.59000015258789,30.05500030517578,29.59999942779541,29.93000030517578,24.94487571716309,60497150.0,0.11347499999999995,0.5402,23.4,0.0,0.44,0.6,1.0,0.34
31,MSFT,2012-06-18,2012,6,2,29.989999771118164,30.03000068664551,29.709999084472656,29.84000015258789,24.86986541748047,58679900.0,0.5884,0.8957,49.92,0.0,0.63,0.46,2.0,0.71
32,MSFT,2012-06-19,2012,6,2,30.190000534057607,31.11000061035156,30.04999923706055,30.70000076293945,25.586627960205078,75725800.0,0.919375,-0.9048,78.0,0.0,0.37,0.65,1.5,0.55
33,MSFT,2012-06-20,2012,6,2,30.93000030517578,31.04999923706055,30.63999938964844,30.93000030517578,25.77831840515137,36257100.0,0.56081875,-0.9389,47.58,0.0,0.49,0.49,0.98,0.48
34,MSFT,2012-06-21,2012,6,2,30.959999084472656,31.13999938964844,30.059999465942386,30.13999938964844,25.11989974975586,48456600.0,0.4964625000000002,0.9848,42.12000000000001,0.0,0.35000000000000003,0.4,1.24,0.59
35,MSFT,2012-06-22,2012,6,2,30.29999923706055,30.729999542236328,30.03000068664551,30.70000076293945,25.586627960205078,45098100.0,0.4137187500000001,0.3172,35.1,0.0,0.44,0.76,1.6,0.4
36,MSFT,2012-06-23,2012,6,2,30.29999923706055,30.524999618530273,29.82500076293945,30.285000801086426,25.24074649810791,43657650.0,0.3628,0.7362,26.52,0.0,0.39,0.43,1.92,0.58
37,MSFT,2012-06-24,2012,6,2,30.29999923706055,30.524999618530273,29.82500076293945,30.285000801086426,25.24074649810791,43657650.0,0.3628,0.8838,26.52,0.0,0.53,0.64,1.28,0.63
38,MSFT,2012-06-25,2012,6,2,30.29999923706055,30.31999969482422,29.6200008392334,29.8700008392334,24.894865036010746,42217200.0,0.26,-0.9159999999999999,35.1,0.0,0.46,0.49,1.24,0.35000000000000003
39,MSFT,2012-06-26,2012,6,2,30.0,30.270000457763672,29.940000534057607,30.020000457763672,25.019886016845703,38421300.0,0.2657777777777778,-0.9515,35.88,0.0,0.41,0.66,0.86,0.54
40,MSFT,2012-06-27,2012,6,2,30.190000534057607,30.5,30.03000068664551,30.170000076293945,25.144906997680664,33781700.0,-0.6619,-0.9857,33.54,0.0,0.35000000000000003,0.55,1.06,0.39
41,MSFT,2012-06-28,2012,6,2,29.979999542236328,30.04999923706055,29.420000076293945,29.90999984741211,24.928211212158203,45328400.0,-0.6619,-0.5897,33.54,0.0,0.63,0.28,0.6,0.71
42,MSFT,2012-06-29,2012,6,2,30.45000076293945,30.690000534057607,30.13999938964844,30.59000015258789,25.49494552612305,55227200.0,-0.6157209302325584,0.1063,31.20000000000001,0.0,0.5700000000000001,0.47,0.72,0.43
43,MSFT,2012-06-30,2012,6,2,30.45000076293945,30.65500068664551,30.17499923706055,30.574999809265137,25.48244571685791,42908150.0,-0.4463976744186047,0.9623,22.62,0.0,0.46,0.66,1.1,0.41
44,MSFT,2012-07-01,2012,7,3,30.45000076293945,30.65500068664551,30.17499923706055,30.574999809265137,25.48244571685791,42908150.0,-0.8850988372093025,-0.8138,44.85,0.0,0.56,0.53,0.5,1.0
45,MSFT,2012-07-02,2012,7,3,30.6200008392334,30.6200008392334,30.209999084472656,30.559999465942386,25.46994590759277,30589100.0,-1.1302031305903402,0.2111,57.27,0.0,1.0,0.71,0.54,0.85
46,MSFT,2012-07-03,2012,7,3,30.229999542236328,30.76000022888184,30.170000076293945,30.76000022888184,25.63663101196289,20938100.0,-0.0043,0.8546,61.41,0.0,0.44,0.5,0.42,0.59
47,MSFT,2012-07-04,2012,7,3,30.229999542236328,30.770000457763675,30.274999618530273,30.730000495910645,25.611629486083984,24870000.0,-0.4305,-0.9752,48.3,0.0,0.46,0.33,0.36,0.48
48,MSFT,2012-07-05,2012,7,3,30.59000015258789,30.78000068664551,30.3799991607666,30.70000076293945,25.586627960205078,28801900.0,-0.5289,-0.7464,59.34,0.0,0.54,1.0,0.3,0.64
