date,AT&T
2011-01-01,50.050000000000004
2011-01-02,52.0
2011-01-03,58.5
2011-01-04,56.550000000000004
2011-01-05,54.6
2011-01-06,53.95
2011-01-07,53.95
2011-01-08,56.550000000000004
2011-01-09,49.4
2011-01-10,51.35
2011-01-11,65.0
2011-01-12,61.75
2011-01-13,53.300000000000004
2011-01-14,54.6
2011-01-15,53.95
2011-01-16,50.7
2011-01-17,53.95
2011-01-18,51.35
2011-01-19,50.7
2011-01-20,50.050000000000004
2011-01-21,50.050000000000004
2011-01-22,52.65
2011-01-23,48.1
2011-01-24,50.050000000000004
2011-01-25,50.7
2011-01-26,48.1
2011-01-27,46.800000000000004
2011-01-28,47.45
2011-01-29,48.75
2011-01-30,47.45
2011-01-31,48.1
2011-02-01,53.46
2011-02-02,55.440000000000005
2011-02-03,56.1
2011-02-04,60.06
2011-02-05,58.080000000000005
2011-02-06,48.84
2011-02-07,54.120000000000005
2011-02-08,56.760000000000005
2011-02-09,58.74
2011-02-10,61.38
2011-02-11,64.68
2011-02-12,66.0
2011-02-13,60.720000000000006
2011-02-14,60.06
2011-02-15,60.720000000000006
2011-02-16,58.080000000000005
2011-02-17,59.400000000000006
2011-02-18,55.440000000000005
2011-02-19,62.7
2011-02-20,58.080000000000005
2011-02-21,58.74
2011-02-22,59.400000000000006
2011-02-23,60.06
2011-02-24,55.440000000000005
2011-02-25,58.74
2011-02-26,58.74
2011-02-27,53.46
2011-02-28,58.080000000000005
2011-03-01,31.82
2011-03-02,34.78
2011-03-03,35.519999999999996
2011-03-04,32.56
2011-03-05,34.78
2011-03-06,31.82
2011-03-07,34.04
2011-03-08,31.82
2011-03-09,32.56
2011-03-10,32.56
2011-03-11,34.04
2011-03-12,33.3
2011-03-13,28.86
2011-03-14,34.04
2011-03-15,33.3
2011-03-16,32.56
2011-03-17,30.34
2011-03-18,33.3
2011-03-19,34.04
2011-03-20,59.2
2011-03-21,74.0
2011-03-22,51.8
2011-03-23,42.92
2011-03-24,37.0
2011-03-25,37.0
2011-03-26,36.26
2011-03-27,34.04
2011-03-28,34.78
2011-03-29,34.04
2011-03-30,31.08
2011-03-31,31.82
2011-04-01,63.0
2011-04-02,60.480000000000004
2011-04-03,56.07
2011-04-04,58.59
2011-04-05,60.480000000000004
2011-04-06,58.59
2011-04-07,56.07
2011-04-08,57.96
2011-04-09,59.22
2011-04-10,48.51
2011-04-11,51.03
2011-04-12,56.7
2011-04-13,51.660000000000004
2011-04-14,53.55
2011-04-15,59.22
2011-04-16,51.660000000000004
2011-04-17,50.4
2011-04-18,54.81
2011-04-19,56.7
2011-04-20,53.55
2011-04-21,54.81
2011-04-22,57.33
2011-04-23,51.660000000000004
2011-04-24,47.88
2011-04-25,56.7
2011-04-26,54.81
2011-04-27,56.07
2011-04-28,52.29
2011-04-29,53.55
2011-04-30,54.18
2011-05-01,55.04
2011-05-02,55.04
2011-05-03,56.96
2011-05-04,57.6
2011-05-05,56.32
2011-05-06,57.6
2011-05-07,60.160000000000004
2011-05-08,52.480000000000004
2011-05-09,53.120000000000005
2011-05-10,57.6
2011-05-11,55.04
2011-05-12,56.32
2011-05-13,64.0
2011-05-14,57.6
2011-05-15,57.6
2011-05-16,59.52
2011-05-17,60.800000000000004
2011-05-18,56.96
2011-05-19,55.68
2011-05-20,56.96
2011-05-21,56.96
2011-05-22,55.04
2011-05-23,60.160000000000004
2011-05-24,58.88
2011-05-25,60.800000000000004
2011-05-26,56.32
2011-05-27,62.72
2011-05-28,56.96
