date,Bank of America
2011-01-01,47.17
2011-01-02,43.61
2011-01-03,63.19
2011-01-04,59.63
2011-01-05,57.85
2011-01-06,57.85
2011-01-07,62.300000000000004
2011-01-08,59.63
2011-01-09,42.72
2011-01-10,50.730000000000004
2011-01-11,51.62
2011-01-12,48.95
2011-01-13,51.62
2011-01-14,89.0
2011-01-15,56.96
2011-01-16,37.38
2011-01-17,47.17
2011-01-18,51.62
2011-01-19,53.4
2011-01-20,51.62
2011-01-21,56.96
2011-01-22,51.62
2011-01-23,37.38
2011-01-24,50.730000000000004
2011-01-25,50.730000000000004
2011-01-26,48.95
2011-01-27,48.95
2011-01-28,56.07
2011-01-29,53.4
2011-01-30,40.05
2011-01-31,55.18
2011-02-01,68.85
2011-02-02,63.75
2011-02-03,66.3
2011-02-04,75.64999999999999
2011-02-05,68.0
2011-02-06,48.449999999999996
2011-02-07,63.75
2011-02-08,64.6
2011-02-09,64.6
2011-02-10,62.9
2011-02-11,72.25
2011-02-12,62.9
2011-02-13,47.6
2011-02-14,64.6
2011-02-15,68.85
2011-02-16,66.3
2011-02-17,63.75
2011-02-18,69.7
2011-02-19,61.199999999999996
2011-02-20,45.05
2011-02-21,54.4
2011-02-22,62.05
2011-02-23,64.6
2011-02-24,61.199999999999996
2011-02-25,70.55
2011-02-26,66.3
2011-02-27,48.449999999999996
2011-02-28,85.0
2011-03-01,86.0
2011-03-02,47.3
2011-03-03,44.72
2011-03-04,48.16
2011-03-05,39.56
2011-03-06,29.24
2011-03-07,41.28
2011-03-08,38.7
2011-03-09,38.7
2011-03-10,38.7
2011-03-11,41.28
2011-03-12,33.54
2011-03-13,24.08
2011-03-14,39.56
2011-03-15,43.86
2011-03-16,40.42
2011-03-17,39.56
2011-03-18,43.0
2011-03-19,36.98
2011-03-20,29.24
2011-03-21,39.56
2011-03-22,36.98
2011-03-23,36.12
2011-03-24,37.839999999999996
2011-03-25,42.14
2011-03-26,36.12
2011-03-27,27.52
2011-03-28,38.7
2011-03-29,39.56
2011-03-30,38.7
2011-03-31,42.14
2011-04-01,80.04
2011-04-02,69.6
2011-04-03,51.33
2011-04-04,70.47
2011-04-05,71.34
2011-04-06,64.38
2011-04-07,68.73
2011-04-08,75.69
2011-04-09,65.25
2011-04-10,53.94
2011-04-11,69.6
2011-04-12,70.47
2011-04-13,67.86
2011-04-14,70.47
2011-04-15,87.0
2011-04-16,70.47
2011-04-17,53.07
2011-04-18,71.34
2011-04-19,69.6
2011-04-20,66.99
2011-04-21,66.12
2011-04-22,70.47
2011-04-23,64.38
2011-04-24,46.11
2011-04-25,64.38
2011-04-26,63.51
2011-04-27,66.12
2011-04-28,66.12
2011-04-29,75.69
2011-04-30,71.34
2011-05-01,59.84
2011-05-02,76.56
2011-05-03,78.32000000000001
2011-05-04,73.92
2011-05-05,73.04
2011-05-06,81.84
2011-05-07,72.16
2011-05-08,54.56
2011-05-09,74.8
