date,Comcast
2011-01-01,83.7
2011-01-02,89.28
2011-01-03,93.0
2011-01-04,84.63000000000001
2011-01-05,79.98
2011-01-06,82.77000000000001
2011-01-07,79.05
2011-01-08,82.77000000000001
2011-01-09,76.26
2011-01-10,79.98
2011-01-11,75.33
2011-01-12,71.61
2011-01-13,73.47
2011-01-14,72.54
2011-01-15,79.05
2011-01-16,76.26
2011-01-17,76.26
2011-01-18,81.84
2011-01-19,77.19
2011-01-20,73.47
2011-01-21,77.19
2011-01-22,92.07000000000001
2011-01-23,70.68
2011-01-24,74.4
2011-01-25,74.4
2011-01-26,66.96000000000001
2011-01-27,71.61
2011-01-28,75.33
2011-01-29,82.77000000000001
2011-01-30,73.47
2011-01-31,73.47
2011-02-01,71.38
2011-02-02,79.67999999999999
2011-02-03,73.03999999999999
2011-02-04,73.03999999999999
2011-02-05,83.0
2011-02-06,74.7
2011-02-07,73.03999999999999
2011-02-08,73.86999999999999
2011-02-09,70.55
2011-02-10,68.06
2011-02-11,68.06
2011-02-12,78.85
2011-02-13,67.22999999999999
2011-02-14,67.22999999999999
2011-02-15,70.55
2011-02-16,73.86999999999999
2011-02-17,73.86999999999999
2011-02-18,73.03999999999999
2011-02-19,81.33999999999999
2011-02-20,75.53
2011-02-21,76.36
2011-02-22,73.86999999999999
2011-02-23,63.91
2011-02-24,73.86999999999999
2011-02-25,72.21
2011-02-26,75.53
2011-02-27,70.55
2011-02-28,72.21
2011-03-01,80.36
2011-03-02,72.97999999999999
2011-03-03,70.52
2011-03-04,80.36
2011-03-05,80.36
2011-03-06,72.16
2011-03-07,77.08
2011-03-08,77.08
2011-03-09,69.7
2011-03-10,71.33999999999999
2011-03-11,77.08
2011-03-12,79.53999999999999
2011-03-13,63.13999999999999
2011-03-14,77.89999999999999
2011-03-15,80.36
2011-03-16,77.89999999999999
2011-03-17,78.72
2011-03-18,74.61999999999999
2011-03-19,80.36
2011-03-20,71.33999999999999
2011-03-21,76.25999999999999
2011-03-22,76.25999999999999
2011-03-23,73.8
2011-03-24,72.97999999999999
2011-03-25,73.8
2011-03-26,82.0
2011-03-27,67.24
2011-03-28,75.44
2011-03-29,79.53999999999999
2011-03-30,76.25999999999999
2011-03-31,73.8
2011-04-01,75.53
2011-04-02,81.33999999999999
2011-04-03,76.36
2011-04-04,73.03999999999999
2011-04-05,73.86999999999999
2011-04-06,73.03999999999999
2011-04-07,68.06
2011-04-08,69.72
2011-04-09,73.86999999999999
2011-04-10,64.74
2011-04-11,68.89
2011-04-12,68.89
2011-04-13,68.06
2011-04-14,70.55
2011-04-15,71.38
2011-04-16,83.0
2011-04-17,65.57
2011-04-18,70.55
2011-04-19,71.38
2011-04-20,73.03999999999999
2011-04-21,68.89
2011-04-22,69.72
2011-04-23,68.06
2011-04-24,63.08
2011-04-25,77.19
2011-04-26,75.53
2011-04-27,77.19
2011-04-28,67.22999999999999
2011-04-29,69.72
2011-04-30,74.7
2011-05-01,73.1
2011-05-02,75.64999999999999
2011-05-03,75.64999999999999
2011-05-04,75.64999999999999
2011-05-05,68.0
2011-05-06,73.1
2011-05-07,75.64999999999999
2011-05-08,69.7
2011-05-09,74.8
2011-05-10,74.8
2011-05-11,68.85
2011-05-12,79.05
2011-05-13,79.05
2011-05-14,79.89999999999999
2011-05-15,77.35
2011-05-16,81.6
2011-05-17,79.05
2011-05-18,73.95
2011-05-19,71.39999999999999
2011-05-20,78.2
2011-05-21,78.2
2011-05-22,71.39999999999999
2011-05-23,76.5
2011-05-24,78.2
2011-05-25,73.95
2011-05-26,74.8
2011-05-27,81.6
2011-05-28,84.14999999999999
2011-05-29,62.9
2011-05-30,64.6
2011-05-31,85.0
2011-06-01,82.56
2011-06-02,77.4
2011-06-03,80.84
2011-06-04,79.12
2011-06-05,70.52
2011-06-06,84.28
2011-06-07,83.42
2011-06-08,80.84
2011-06-09,77.4
2011-06-10,79.98
2011-06-11,77.4
2011-06-12,71.38
2011-06-13,78.26
2011-06-14,80.84
2011-06-15,81.7
2011-06-16,79.98
2011-06-17,77.4
2011-06-18,74.82
2011-06-19,63.64
2011-06-20,83.42
2011-06-21,79.12
2011-06-22,79.12
2011-06-23,80.84
2011-06-24,76.53999999999999
2011-06-25,76.53999999999999
2011-06-26,74.82
2011-06-27,86.0
2011-06-28,79.98
2011-06-29,79.12
2011-06-30,83.42
2011-07-01,85.44
2011-07-02,80.1
2011-07-03,67.64
2011-07-04,64.08
2011-07-05,78.32000000000001
2011-07-06,84.55
2011-07-07,80.1
2011-07-08,78.32000000000001
2011-07-09,72.09
2011-07-10,66.75
2011-07-11,85.44
2011-07-12,89.0
2011-07-13,86.33
2011-07-14,79.21000000000001
2011-07-15,77.43
2011-07-16,75.65
2011-07-17,76.54
2011-07-18,80.99
2011-07-19,80.1
2011-07-20,79.21000000000001
2011-07-21,76.54
2011-07-22,78.32000000000001
2011-07-23,83.66
2011-07-24,71.2
2011-07-25,77.43
2011-07-26,80.1
2011-07-27,76.54
2011-07-28,78.32000000000001
2011-07-29,84.55
2011-07-30,81.88
2011-07-31,69.42
2011-08-01,87.4
2011-08-02,85.56
2011-08-03,84.64
2011-08-04,78.2
2011-08-05,80.04
2011-08-06,78.2
2011-08-07,70.84
2011-08-08,90.16000000000001
2011-08-09,83.72
2011-08-10,80.96000000000001
2011-08-11,78.2
2011-08-12,85.56
2011-08-13,83.72
2011-08-14,82.8
2011-08-15,87.4
2011-08-16,80.04
2011-08-17,78.2
2011-08-18,78.2
2011-08-19,83.72
2011-08-20,80.96000000000001
2011-08-21,73.60000000000001
2011-08-22,86.48
2011-08-23,80.96000000000001
2011-08-24,77.28
2011-08-25,75.44
2011-08-26,77.28
2011-08-27,80.96000000000001
2011-08-28,87.4
2011-08-29,92.0
2011-08-30,84.64
2011-08-31,82.8
2011-09-01,78.3
2011-09-02,81.0
2011-09-03,90.0
2011-09-04,74.7
2011-09-05,68.4
2011-09-06,79.2
2011-09-07,81.0
2011-09-08,74.7
2011-09-09,76.5
2011-09-10,86.4
2011-09-11,77.4
2011-09-12,80.10000000000001
2011-09-13,77.4
2011-09-14,74.7
2011-09-15,73.8
2011-09-16,77.4
2011-09-17,83.7
2011-09-18,82.8
2011-09-19,74.7
2011-09-20,78.3
2011-09-21,74.7
2011-09-22,72.9
2011-09-23,71.10000000000001
2011-09-24,85.5
2011-09-25,71.10000000000001
2011-09-26,72.9
2011-09-27,68.4
2011-09-28,71.10000000000001
2011-09-29,71.10000000000001
2011-09-30,72.9
2011-10-01,73.47
2011-10-02,65.57000000000001
2011-10-03,67.15
2011-10-04,63.99
2011-10-05,61.620000000000005
2011-10-06,63.2
2011-10-07,60.040000000000006
2011-10-08,67.94
2011-10-09,61.620000000000005
2011-10-10,69.52000000000001
2011-10-11,65.57000000000001
2011-10-12,68.73
2011-10-13,66.36
2011-10-14,67.15
2011-10-15,79.0
2011-10-16,63.99
2011-10-17,62.410000000000004
2011-10-18,57.67
2011-10-19,56.88
2011-10-20,54.510000000000005
2011-10-21,60.830000000000005
2011-10-22,63.2
2011-10-23,54.510000000000005
2011-10-24,57.67
2011-10-25,53.72
2011-10-26,56.09
2011-10-27,57.67
2011-10-28,56.88
2011-10-29,66.36
2011-10-30,65.57000000000001
2011-10-31,65.57000000000001
2011-11-01,66.75
2011-11-02,66.75
2011-11-03,63.0
2011-11-04,69.75
2011-11-05,66.0
2011-11-06,63.75
2011-11-07,60.75
2011-11-08,64.5
2011-11-09,59.25
2011-11-10,69.75
2011-11-11,64.5
2011-11-12,64.5
2011-11-13,66.0
2011-11-14,64.5
2011-11-15,60.75
2011-11-16,57.0
2011-11-17,57.75
2011-11-18,61.5
2011-11-19,66.75
2011-11-20,61.5
2011-11-21,62.25
2011-11-22,60.75
2011-11-23,63.0
2011-11-24,54.75
2011-11-25,75.0
2011-11-26,72.75
2011-11-27,69.75
2011-11-28,66.75
2011-11-29,62.25
2011-11-30,69.0
2011-12-01,60.06
2011-12-02,66.3
2011-12-03,71.76
2011-12-04,61.620000000000005
2011-12-05,60.06
2011-12-06,63.18
2011-12-07,58.5
2011-12-08,59.28
2011-12-09,59.28
2011-12-10,63.18
2011-12-11,56.940000000000005
2011-12-12,60.84
2011-12-13,56.940000000000005
2011-12-14,58.5
2011-12-15,58.5
2011-12-16,60.06
2011-12-17,69.42
2011-12-18,64.74000000000001
2011-12-19,60.84
2011-12-20,62.400000000000006
2011-12-21,62.400000000000006
2011-12-22,60.06
2011-12-23,60.84
2011-12-24,59.28
2011-12-25,63.18
2011-12-26,75.66
2011-12-27,78.0
2011-12-28,70.2
2011-12-29,77.22
2011-12-30,78.0
2011-12-31,68.64
2012-01-01,65.60000000000001
2012-01-02,80.0
2012-01-03,77.60000000000001
2012-01-04,72.8
2012-01-05,72.8
2012-01-06,70.4
2012-01-07,74.4
2012-01-08,67.2
2012-01-09,70.4
2012-01-10,72.0
2012-01-11,66.4
