date,Exxon
2011-01-01,12.18
2011-01-02,26.88
2011-01-03,39.48
2011-01-04,32.76
2011-01-05,34.86
2011-01-06,33.18
2011-01-07,26.88
2011-01-08,28.56
2011-01-09,27.72
2011-01-10,30.66
2011-01-11,34.019999999999996
2011-01-12,26.459999999999997
2011-01-13,35.699999999999996
2011-01-14,27.3
2011-01-15,21.0
2011-01-16,16.8
2011-01-17,26.88
2011-01-18,29.4
2011-01-19,31.08
2011-01-20,30.24
2011-01-21,28.56
2011-01-22,23.52
2011-01-23,18.48
2011-01-24,27.72
2011-01-25,31.08
2011-01-26,30.24
2011-01-27,28.98
2011-01-28,36.12
2011-01-29,36.12
2011-01-30,24.36
2011-01-31,42.0
2011-02-01,38.07
2011-02-02,36.19
2011-02-03,33.37
2011-02-04,31.49
2011-02-05,22.56
2011-02-06,19.27
2011-02-07,33.839999999999996
2011-02-08,38.07
2011-02-09,28.669999999999998
2011-02-10,36.19
2011-02-11,31.02
2011-02-12,28.669999999999998
2011-02-13,20.68
2011-02-14,27.729999999999997
2011-02-15,45.12
2011-02-16,36.19
2011-02-17,43.239999999999995
2011-02-18,31.49
2011-02-19,31.959999999999997
2011-02-20,26.32
2011-02-21,31.959999999999997
2011-02-22,40.419999999999995
2011-02-23,46.529999999999994
2011-02-24,44.65
2011-02-25,47.0
2011-02-26,28.2
2011-02-27,29.61
2011-02-28,39.01
2011-03-01,37.230000000000004
2011-03-02,37.74
2011-03-03,49.47
2011-03-04,42.33
2011-03-05,35.7
2011-03-06,40.29
2011-03-07,39.78
2011-03-08,48.45
2011-03-09,51.0
2011-03-10,41.82
2011-03-11,33.660000000000004
2011-03-12,24.990000000000002
2011-03-13,27.54
2011-03-14,29.580000000000002
2011-03-15,34.17
2011-03-16,36.72
2011-03-17,38.76
2011-03-18,34.17
2011-03-19,25.5
2011-03-20,29.07
2011-03-21,28.05
2011-03-22,26.52
2011-03-23,36.72
2011-03-24,38.76
2011-03-25,34.68
2011-03-26,22.44
2011-03-27,14.790000000000001
2011-03-28,32.64
2011-03-29,35.19
2011-03-30,38.76
2011-03-31,33.660000000000004
2011-04-01,38.34
2011-04-02,24.840000000000003
2011-04-03,18.36
2011-04-04,36.18
2011-04-05,25.92
2011-04-06,30.78
2011-04-07,30.240000000000002
2011-04-08,35.1
2011-04-09,24.3
2011-04-10,28.080000000000002
2011-04-11,34.56
2011-04-12,37.260000000000005
2011-04-13,27.540000000000003
2011-04-14,31.860000000000003
2011-04-15,32.400000000000006
2011-04-16,26.46
2011-04-17,17.82
2011-04-18,35.1
2011-04-19,31.860000000000003
2011-04-20,30.240000000000002
2011-04-21,25.92
2011-04-22,23.76
2011-04-23,17.82
2011-04-24,18.36
2011-04-25,33.480000000000004
2011-04-26,35.64
2011-04-27,36.18
2011-04-28,54.0
2011-04-29,52.38
2011-04-30,41.580000000000005
2011-05-01,45.36
2011-05-02,54.0
2011-05-03,41.580000000000005
2011-05-04,43.2
2011-05-05,52.92
2011-05-06,38.88
2011-05-07,29.160000000000004
2011-05-08,30.78
2011-05-09,47.52
2011-05-10,49.14
2011-05-11,43.2
2011-05-12,52.92
2011-05-13,39.96
2011-05-14,34.02
2011-05-15,32.940000000000005
2011-05-16,34.02
2011-05-17,35.1
2011-05-18,43.74
2011-05-19,44.82
2011-05-20,35.1
2011-05-21,26.46
2011-05-22,29.160000000000004
2011-05-23,44.28
2011-05-24,31.860000000000003
2011-05-25,27.0
2011-05-26,34.02
2011-05-27,34.56
2011-05-28,24.3
2011-05-29,17.82
2011-05-30,33.480000000000004
2011-05-31,38.34
2011-06-01,45.57
2011-06-02,31.849999999999998
2011-06-03,35.28
2011-06-04,38.71
2011-06-05,20.58
2011-06-06,29.89
2011-06-07,34.3
2011-06-08,48.019999999999996
2011-06-09,49.0
2011-06-10,43.61
2011-06-11,25.48
2011-06-12,22.54
2011-06-13,37.73
2011-06-14,35.28
2011-06-15,36.75
2011-06-16,32.83
2011-06-17,35.769999999999996
2011-06-18,24.99
2011-06-19,28.91
2011-06-20,29.89
2011-06-21,35.769999999999996
2011-06-22,37.73
2011-06-23,37.24
2011-06-24,34.79
2011-06-25,26.95
2011-06-26,24.009999999999998
2011-06-27,38.22
2011-06-28,34.79
2011-06-29,34.3
2011-06-30,35.769999999999996
2011-07-01,38.5
2011-07-02,30.250000000000004
2011-07-03,52.25000000000001
2011-07-04,37.95
2011-07-05,55.00000000000001
2011-07-06,44.550000000000004
2011-07-07,45.650000000000006
2011-07-08,35.2
2011-07-09,25.85
2011-07-10,28.05
2011-07-11,40.150000000000006
2011-07-12,37.400000000000006
2011-07-13,40.7
2011-07-14,34.1
2011-07-15,35.75
2011-07-16,29.150000000000002
2011-07-17,25.3
2011-07-18,29.700000000000003
2011-07-19,26.950000000000003
2011-07-20,24.750000000000004
2011-07-21,40.7
2011-07-22,33.550000000000004
2011-07-23,22.0
2011-07-24,19.8
2011-07-25,35.75
2011-07-26,34.1
2011-07-27,31.35
2011-07-28,44.0
2011-07-29,33.0
2011-07-30,28.05
2011-07-31,35.2
2011-08-01,31.9
2011-08-02,34.22
2011-08-03,33.64
2011-08-04,35.379999999999995
2011-08-05,33.64
2011-08-06,35.96
2011-08-07,26.68
2011-08-08,35.96
2011-08-09,57.99999999999999
2011-08-10,51.62
2011-08-11,41.76
2011-08-12,40.599999999999994
2011-08-13,30.74
2011-08-14,24.939999999999998
2011-08-15,37.699999999999996
2011-08-16,36.54
2011-08-17,28.999999999999996
2011-08-18,42.339999999999996
2011-08-19,48.72
2011-08-20,30.74
2011-08-21,29.58
2011-08-22,33.059999999999995
2011-08-23,27.259999999999998
2011-08-24,31.319999999999997
2011-08-25,34.8
2011-08-26,28.999999999999996
2011-08-27,23.779999999999998
2011-08-28,20.88
2011-08-29,35.96
2011-08-30,36.54
2011-08-31,43.5
2011-09-01,33.6
2011-09-02,33.12
2011-09-03,22.08
2011-09-04,27.36
2011-09-05,32.64
2011-09-06,29.759999999999998
2011-09-07,34.08
2011-09-08,43.68
2011-09-09,36.48
2011-09-10,26.88
2011-09-11,22.08
2011-09-12,35.519999999999996
2011-09-13,35.519999999999996
2011-09-14,39.36
2011-09-15,36.96
2011-09-16,42.239999999999995
2011-09-17,26.4
2011-09-18,22.08
2011-09-19,36.48
2011-09-20,41.76
2011-09-21,48.0
2011-09-22,42.72
2011-09-23,33.12
2011-09-24,22.08
2011-09-25,20.16
2011-09-26,38.879999999999995
2011-09-27,33.12
2011-09-28,36.0
2011-09-29,37.44
2011-09-30,32.64
