,Microsoft,Apple,Amazon,Google,Facebook,Johnson & Johnson,Walmart,Procter & Gamble,JPMorgan Chase,UnitedHealth Group,Intel,Verizon,AT&T,The Home Depot,Merck,Pfizer,CocaCola,Bank of America,Netflix,Pepsi,Disney,Cisco,NVIDIA,Exxon,Abbott Laboratories,Oracle,Comcast,Adobe,Chevron,Eli Lilly,Covid-19,Pandemic,presidential election,Lockdown,Face masks,Coronavirus,Quarantine,EDD,sba loans,unemployment check,swine flu,flu,zika
2011-01-01,65.0,31.020000000000003,30.94,39.15,87.0,26.64,40.0,26.88,33.44,22.77,71.0,30.0,50.05,15.84,20.68,17.36,36.5,47.17,66.0,16.64,40.8,34.56,88.0,12.18,12.420000000000002,15.66,83.7,74.69,17.48,0.0,0.0,1.3,0.29,0.88,0.48,0.0,0.84,5.7,3.5,1.62,3.35,7.81,0.0
2011-01-02,75.0,33.0,34.0,37.8,77.42999999999998,26.64,36.0,32.64,27.36,57.27,72.0,32.0,52.0,14.4,37.6,29.76,18.0,43.61,75.0,17.68,40.32,33.6,91.0,26.88,19.98,22.62,89.28,82.45,14.44,22.08,0.0,0.86,0.48,0.54,0.59,0.0,0.45,8.7,1.4500000000000002,1.59,2.9000000000000004,8.8,0.0
2011-01-03,90.0,29.700000000000006,30.26,39.15,66.12,48.96,29.200000000000006,17.28,53.96,44.16,82.0,37.0,58.5,14.94,47.0,39.06,23.0,63.19,53.25,24.44,32.64,65.28,80.0,39.48,18.36,53.07,93.0,85.36,20.52,83.72,0.0,1.44,0.29,0.84,0.35000000000000003,0.0,0.46,14.4,3.85,2.43,3.0500000000000003,10.56,0.0
2011-01-04,98.0,27.72,29.58,40.05,65.25,56.88,27.200000000000006,33.28,52.44,14.489999999999998,90.0,35.0,56.55,13.68,60.16,45.26,41.0,59.63,47.25,23.14,32.16,77.75999999999998,90.0,32.76,28.08,72.21,84.63000000000002,93.12,20.9,70.84,0.0,1.1,0.49,0.86,0.3,0.0,0.34,14.25,1.1,2.19,4.55,9.9,0.0
2011-01-05,92.0,26.73,28.56,40.5,62.64,61.2,27.200000000000006,0.0,34.2,49.67999999999999,87.0,35.0,54.6,15.3,53.58,42.78,22.5,57.85,42.75,22.62,30.72,82.56,82.0,34.86,30.24,77.42999999999998,79.98,92.15,20.9,58.88,0.0,0.86,0.66,1.22,0.15,0.0,0.5700000000000001,13.8,3.5500000000000003,2.55,3.65,10.01,0.0
2011-01-06,100.0,28.05,28.9,40.95,63.51,43.92,26.8,33.28,24.32,28.29,92.0,38.0,53.95,9.72,79.89999999999998,31.62,32.0,57.85,43.5,22.36,30.72,81.6,90.0,33.18,25.92,76.56,82.77000000000002,89.24,22.8,71.76,0.0,1.34,0.5700000000000001,0.76,0.25,0.0,0.6900000000000001,14.4,3.25,0.8099999999999999,4.9,9.79,0.0
2011-01-07,89.0,27.39,28.56,40.95,65.25,38.16,26.8,33.92,39.52,51.06,82.0,38.0,53.95,13.5,47.0,45.26,14.0,62.3,45.75,24.44,32.16,74.88,95.0,26.88,31.32,67.86,79.05,90.21,18.24,72.68,0.0,1.16,0.55,1.04,0.4,0.0,0.38,12.75,1.4500000000000002,1.83,4.5,8.36,0.0
2011-01-08,76.0,30.69,30.6,39.15,77.42999999999998,39.6,32.4,21.12,17.48,17.939999999999994,84.0,47.0,56.55,14.04,35.72,28.52,26.0,59.63,64.5,18.46,40.8,37.44,95.0,28.56,22.68,32.19,82.77000000000002,81.48,18.24,48.76000000000001,0.0,1.54,0.46,0.86,0.43,0.0,0.52,10.95,1.35,3.0,3.0,8.47,0.0
2011-01-09,77.0,30.03,31.96,38.25,80.04,36.0,32.800000000000004,21.12,26.6,27.6,84.0,41.0,49.4,13.86,37.6,22.94,17.0,42.72,65.25,24.7,43.68,39.36,97.0,27.72,9.72,29.58,76.26,81.48,16.34,47.84,0.0,1.58,0.68,0.6,0.68,0.0,0.47,7.05,4.75,1.14,2.95,7.37,0.0
2011-01-10,88.0,26.73,29.58,39.15,65.25,42.48,28.0,32.64,54.72,28.29,80.0,47.0,51.35,12.6,54.52,40.3,31.0,50.73,46.5,18.72,34.56,75.84,81.0,30.66,12.420000000000002,73.95,79.98,87.3,20.14,69.92,0.0,1.16,0.43,0.84,0.34,0.0,0.51,14.25,2.1,2.76,3.65,8.91,0.0
