date,Intel
2011-01-01,71.0
2011-01-02,72.0
2011-01-03,82.0
2011-01-04,90.0
2011-01-05,87.0
2011-01-06,92.0
2011-01-07,82.0
2011-01-08,84.0
2011-01-09,84.0
2011-01-10,80.0
2011-01-11,86.0
2011-01-12,82.0
2011-01-13,100.0
2011-01-14,91.0
2011-01-15,90.0
2011-01-16,81.0
2011-01-17,79.0
2011-01-18,81.0
2011-01-19,79.0
2011-01-20,82.0
2011-01-21,78.0
2011-01-22,77.0
2011-01-23,72.0
2011-01-24,78.0
2011-01-25,82.0
2011-01-26,82.0
2011-01-27,81.0
2011-01-28,77.0
2011-01-29,75.0
2011-01-30,72.0
2011-01-31,99.0
2011-02-01,99.0
2011-02-02,87.12
2011-02-03,84.15
2011-02-04,77.22
2011-02-05,84.15
2011-02-06,74.25
2011-02-07,77.22
2011-02-08,82.17
2011-02-09,70.29
2011-02-10,79.2
2011-02-11,72.27
2011-02-12,73.26
2011-02-13,75.24
2011-02-14,77.22
2011-02-15,76.23
2011-02-16,81.17999999999999
2011-02-17,80.19
2011-02-18,81.17999999999999
2011-02-19,91.08
2011-02-20,82.17
2011-02-21,75.24
2011-02-22,77.22
2011-02-23,80.19
2011-02-24,90.09
2011-02-25,86.13
2011-02-26,74.25
2011-02-27,84.15
2011-02-28,81.17999999999999
2011-03-01,91.0
2011-03-02,85.54
2011-03-03,86.45
2011-03-04,82.81
2011-03-05,80.99000000000001
2011-03-06,76.44
2011-03-07,79.17
2011-03-08,80.08
2011-03-09,77.35000000000001
2011-03-10,78.26
2011-03-11,69.16
2011-03-12,59.15
2011-03-13,63.7
2011-03-14,72.8
2011-03-15,80.99000000000001
2011-03-16,73.71000000000001
2011-03-17,79.17
2011-03-18,78.26
2011-03-19,74.62
2011-03-20,70.98
2011-03-21,70.98
2011-03-22,82.81
2011-03-23,70.98
2011-03-24,80.08
2011-03-25,77.35000000000001
2011-03-26,68.25
2011-03-27,71.89
2011-03-28,78.26
2011-03-29,77.35000000000001
2011-03-30,70.98
2011-03-31,74.62
2011-04-01,76.44
2011-04-02,74.75999999999999
2011-04-03,68.88
2011-04-04,74.75999999999999
2011-04-05,73.92
2011-04-06,77.28
2011-04-07,72.24
2011-04-08,77.28
2011-04-09,77.28
2011-04-10,68.03999999999999
2011-04-11,70.56
2011-04-12,71.39999999999999
2011-04-13,81.48
2011-04-14,71.39999999999999
2011-04-15,73.08
2011-04-16,71.39999999999999
2011-04-17,74.75999999999999
2011-04-18,73.08
2011-04-19,80.64
2011-04-20,84.0
2011-04-21,73.08
2011-04-22,79.8
2011-04-23,76.44
2011-04-24,68.88
2011-04-25,80.64
2011-04-26,75.6
2011-04-27,69.72
2011-04-28,71.39999999999999
