date,Microsoft
2011-01-01,65.0
2011-01-02,75.0
2011-01-03,90.0
2011-01-04,98.0
2011-01-05,92.0
2011-01-06,100.0
2011-01-07,89.0
2011-01-08,76.0
2011-01-09,77.0
2011-01-10,88.0
2011-01-11,98.0
2011-01-12,92.0
2011-01-13,95.0
2011-01-14,87.0
2011-01-15,73.0
2011-01-16,75.0
2011-01-17,88.0
2011-01-18,97.0
2011-01-19,95.0
2011-01-20,97.0
2011-01-21,87.0
2011-01-22,77.0
2011-01-23,81.0
2011-01-24,97.0
2011-01-25,95.0
2011-01-26,100.0
2011-01-27,96.0
2011-01-28,92.0
2011-01-29,79.0
2011-01-30,82.0
2011-01-31,94.0
2011-02-01,96.0
2011-02-02,93.11999999999999
2011-02-03,91.2
2011-02-04,82.56
2011-02-05,74.88
2011-02-06,75.84
2011-02-07,86.39999999999999
2011-02-08,86.39999999999999
2011-02-09,94.08
2011-02-10,96.0
2011-02-11,85.44
2011-02-12,74.88
2011-02-13,79.67999999999999
2011-02-14,85.44
2011-02-15,88.32
2011-02-16,92.16
2011-02-17,85.44
2011-02-18,79.67999999999999
2011-02-19,64.32
2011-02-20,69.12
2011-02-21,82.56
2011-02-22,86.39999999999999
2011-02-23,88.32
2011-02-24,84.47999999999999
2011-02-25,86.39999999999999
2011-02-26,68.16
2011-02-27,74.88
2011-02-28,81.6
2011-03-01,91.08
2011-03-02,92.0
2011-03-03,91.08
2011-03-04,83.72
2011-03-05,70.84
2011-03-06,70.84
2011-03-07,87.4
2011-03-08,90.16000000000001
2011-03-09,89.24000000000001
2011-03-10,87.4
2011-03-11,78.2
2011-03-12,61.64
2011-03-13,59.800000000000004
2011-03-14,81.88000000000001
2011-03-15,83.72
2011-03-16,85.56
2011-03-17,81.88000000000001
2011-03-18,82.8
2011-03-19,65.32000000000001
2011-03-20,67.16
2011-03-21,79.12
2011-03-22,86.48
2011-03-23,88.32000000000001
2011-03-24,87.4
2011-03-25,80.96000000000001
2011-03-26,65.32000000000001
2011-03-27,71.76
2011-03-28,81.88000000000001
2011-03-29,85.56
2011-03-30,86.48
2011-03-31,83.72
2011-04-01,81.0
2011-04-02,64.8
2011-04-03,67.5
2011-04-04,83.7
2011-04-05,85.5
2011-04-06,84.60000000000001
2011-04-07,84.60000000000001
2011-04-08,77.4
2011-04-09,63.9
2011-04-10,67.5
2011-04-11,81.0
2011-04-12,86.4
2011-04-13,90.0
2011-04-14,89.10000000000001
2011-04-15,79.2
2011-04-16,65.7
2011-04-17,69.3
2011-04-18,82.8
2011-04-19,86.4
2011-04-20,89.10000000000001
2011-04-21,83.7
2011-04-22,74.7
2011-04-23,66.60000000000001
2011-04-24,63.9
2011-04-25,81.9
2011-04-26,85.5
2011-04-27,85.5
2011-04-28,81.0
2011-04-29,73.8
2011-04-30,59.4
2011-05-01,57.85
2011-05-02,66.75
2011-05-03,78.32000000000001
2011-05-04,72.98
2011-05-05,71.2
2011-05-06,72.98
2011-05-07,56.96
2011-05-08,57.85
2011-05-09,70.31
2011-05-10,89.0
2011-05-11,84.55
2011-05-12,79.21000000000001
2011-05-13,68.53
2011-05-14,56.96
2011-05-15,64.97
2011-05-16,74.76
2011-05-17,76.54
2011-05-18,74.76
2011-05-19,74.76
2011-05-20,66.75
2011-05-21,51.62
2011-05-22,58.74
2011-05-23,68.53
2011-05-24,76.54
2011-05-25,72.98
2011-05-26,69.42
2011-05-27,64.97
2011-05-28,54.29
2011-05-29,50.730000000000004
2011-05-30,60.52
2011-05-31,72.98
2011-06-01,76.44
2011-06-02,79.8
2011-06-03,70.56
2011-06-04,54.6
2011-06-05,57.12
2011-06-06,84.0
2011-06-07,80.64
2011-06-08,78.11999999999999
2011-06-09,78.11999999999999
2011-06-10,68.03999999999999
2011-06-11,53.76
2011-06-12,57.12
2011-06-13,73.08
2011-06-14,74.75999999999999
2011-06-15,78.11999999999999
2011-06-16,73.92
2011-06-17,73.08
2011-06-18,57.96
2011-06-19,55.44
2011-06-20,73.08
2011-06-21,74.75999999999999
2011-06-22,74.75999999999999
2011-06-23,73.92
2011-06-24,69.72
2011-06-25,54.6
2011-06-26,52.919999999999995
2011-06-27,72.24
2011-06-28,80.64
2011-06-29,75.6
2011-06-30,74.75999999999999
2011-07-01,69.16
2011-07-02,53.2
2011-07-03,49.4
2011-07-04,52.44
2011-07-05,67.64
2011-07-06,72.96000000000001
2011-07-07,72.2
2011-07-08,67.64
2011-07-09,53.2
2011-07-10,57.0
2011-07-11,72.2
2011-07-12,75.24
2011-07-13,73.72
2011-07-14,75.24
2011-07-15,67.64
2011-07-16,55.480000000000004
2011-07-17,51.68
2011-07-18,70.68
2011-07-19,72.2
2011-07-20,75.24
2011-07-21,76.0
2011-07-22,69.16
2011-07-23,52.44
2011-07-24,54.72
2011-07-25,67.64
2011-07-26,72.2
