date,NVIDIA
2011-01-01,88.0
2011-01-02,91.0
2011-01-03,80.0
2011-01-04,90.0
2011-01-05,82.0
2011-01-06,90.0
2011-01-07,95.0
2011-01-08,95.0
2011-01-09,97.0
2011-01-10,81.0
2011-01-11,100.0
2011-01-12,89.0
2011-01-13,95.0
2011-01-14,89.0
2011-01-15,97.0
2011-01-16,95.0
2011-01-17,73.0
2011-01-18,85.0
2011-01-19,74.0
2011-01-20,83.0
2011-01-21,79.0
2011-01-22,89.0
2011-01-23,94.0
2011-01-24,82.0
2011-01-25,81.0
2011-01-26,87.0
2011-01-27,77.0
2011-01-28,81.0
2011-01-29,85.0
2011-01-30,92.0
2011-01-31,64.0
2011-02-01,68.08
2011-02-02,73.60000000000001
2011-02-03,73.60000000000001
2011-02-04,84.64
2011-02-05,90.16000000000001
2011-02-06,89.24000000000001
2011-02-07,64.4
2011-02-08,72.68
2011-02-09,74.52000000000001
2011-02-10,81.88000000000001
2011-02-11,81.88000000000001
2011-02-12,92.0
2011-02-13,84.64
2011-02-14,69.0
2011-02-15,72.68
2011-02-16,92.0
2011-02-17,79.12
2011-02-18,76.36
2011-02-19,79.12
2011-02-20,90.16000000000001
2011-02-21,69.0
2011-02-22,77.28
2011-02-23,75.44
2011-02-24,82.8
2011-02-25,83.72
2011-02-26,89.24000000000001
2011-02-27,91.08
2011-02-28,73.60000000000001
2011-03-01,72.0
2011-03-02,80.10000000000001
2011-03-03,74.7
2011-03-04,83.7
2011-03-05,84.60000000000001
2011-03-06,73.8
2011-03-07,68.4
2011-03-08,77.4
2011-03-09,82.8
2011-03-10,81.9
2011-03-11,70.2
2011-03-12,78.3
2011-03-13,81.9
2011-03-14,77.4
2011-03-15,74.7
2011-03-16,72.9
2011-03-17,88.2
2011-03-18,73.8
2011-03-19,90.0
2011-03-20,75.60000000000001
2011-03-21,63.9
2011-03-22,74.7
2011-03-23,70.2
2011-03-24,81.9
2011-03-25,78.3
2011-03-26,77.4
2011-03-27,73.8
2011-03-28,68.4
2011-03-29,73.8
2011-03-30,69.3
2011-03-31,66.60000000000001
2011-04-01,77.4
2011-04-02,86.0
2011-04-03,81.7
2011-04-04,66.22
2011-04-05,67.94
2011-04-06,61.06
2011-04-07,61.06
2011-04-08,67.94
2011-04-09,78.26
2011-04-10,76.53999999999999
2011-04-11,63.64
2011-04-12,65.36
2011-04-13,67.08
2011-04-14,70.52
2011-04-15,75.67999999999999
2011-04-16,71.38
2011-04-17,74.82
2011-04-18,67.08
2011-04-19,67.08
2011-04-20,67.08
2011-04-21,65.36
2011-04-22,67.94
2011-04-23,72.24
2011-04-24,83.42
2011-04-25,66.22
2011-04-26,66.22
2011-04-27,64.5
2011-04-28,58.48
2011-04-29,61.92
2011-04-30,69.66
2011-05-01,71.39999999999999
2011-05-02,54.6
2011-05-03,68.88
2011-05-04,63.0
2011-05-05,63.0
2011-05-06,63.839999999999996
2011-05-07,69.72
2011-05-08,76.44
2011-05-09,60.48
2011-05-10,69.72
2011-05-11,66.36
2011-05-12,64.67999999999999
2011-05-13,65.52
2011-05-14,75.6
2011-05-15,69.72
2011-05-16,60.48
2011-05-17,66.36
2011-05-18,69.72
2011-05-19,69.72
2011-05-20,68.88
2011-05-21,73.08
2011-05-22,73.92
2011-05-23,60.48
2011-05-24,60.48
2011-05-25,63.0
2011-05-26,68.88
2011-05-27,77.28
2011-05-28,83.16
2011-05-29,74.75999999999999
2011-05-30,84.0
2011-05-31,61.32
2011-06-01,69.72
2011-06-02,69.72
2011-06-03,73.86999999999999
2011-06-04,83.0
2011-06-05,75.53
2011-06-06,63.91
2011-06-07,68.89
2011-06-08,67.22999999999999
2011-06-09,65.57
2011-06-10,73.03999999999999
2011-06-11,70.55
2011-06-12,79.67999999999999
2011-06-13,64.74
2011-06-14,56.44
2011-06-15,63.08
2011-06-16,59.76
2011-06-17,74.7
2011-06-18,72.21
