date,Adobe
2011-01-01,74.69
2011-01-02,82.45
2011-01-03,85.36
2011-01-04,93.12
2011-01-05,92.14999999999999
2011-01-06,89.24
2011-01-07,90.21
2011-01-08,81.48
2011-01-09,81.48
2011-01-10,87.3
2011-01-11,90.21
2011-01-12,89.24
2011-01-13,96.03
2011-01-14,86.33
2011-01-15,79.53999999999999
2011-01-16,82.45
2011-01-17,86.33
2011-01-18,90.21
2011-01-19,95.06
2011-01-20,96.03
2011-01-21,95.06
2011-01-22,79.53999999999999
2011-01-23,84.39
2011-01-24,88.27
2011-01-25,97.0
2011-01-26,96.03
2011-01-27,94.09
2011-01-28,92.14999999999999
2011-01-29,85.36
2011-01-30,83.42
2011-01-31,94.09
2011-02-01,90.21
2011-02-02,87.3
2011-02-03,89.24
2011-02-04,88.27
2011-02-05,79.53999999999999
2011-02-06,86.33
2011-02-07,82.45
2011-02-08,89.24
2011-02-09,97.0
2011-02-10,96.03
2011-02-11,84.39
2011-02-12,83.42
2011-02-13,82.45
2011-02-14,87.3
2011-02-15,92.14999999999999
2011-02-16,91.17999999999999
2011-02-17,91.17999999999999
2011-02-18,95.06
2011-02-19,90.21
2011-02-20,79.53999999999999
2011-02-21,85.36
2011-02-22,92.14999999999999
2011-02-23,89.24
2011-02-24,95.06
2011-02-25,89.24
2011-02-26,82.45
2011-02-27,86.33
2011-02-28,90.21
2011-03-01,97.0
2011-03-02,100.0
2011-03-03,98.0
2011-03-04,93.0
2011-03-05,96.0
2011-03-06,91.0
2011-03-07,96.0
2011-03-08,96.0
2011-03-09,97.0
2011-03-10,98.0
2011-03-11,88.0
2011-03-12,80.0
2011-03-13,73.0
2011-03-14,91.0
2011-03-15,96.0
2011-03-16,100.0
2011-03-17,90.0
2011-03-18,85.0
2011-03-19,84.0
2011-03-20,77.0
2011-03-21,92.0
2011-03-22,96.0
2011-03-23,96.0
2011-03-24,92.0
2011-03-25,94.0
2011-03-26,84.0
2011-03-27,83.0
2011-03-28,95.0
2011-03-29,91.0
2011-03-30,98.0
2011-03-31,91.0
2011-04-01,83.52
2011-04-02,83.52
2011-04-03,73.92
2011-04-04,87.36
2011-04-05,91.2
2011-04-06,92.16
2011-04-07,89.28
2011-04-08,83.52
2011-04-09,74.88
2011-04-10,72.0
2011-04-11,94.08
2011-04-12,91.2
2011-04-13,92.16
2011-04-14,94.08
2011-04-15,80.64
2011-04-16,81.6
2011-04-17,82.56
2011-04-18,91.2
2011-04-19,90.24
2011-04-20,89.28
2011-04-21,82.56
2011-04-22,83.52
2011-04-23,72.0
2011-04-24,77.75999999999999
2011-04-25,85.44
2011-04-26,96.0
2011-04-27,88.32
2011-04-28,87.36
2011-04-29,82.56
2011-04-30,73.92
2011-05-01,79.17
2011-05-02,77.35000000000001
2011-05-03,86.45
2011-05-04,87.36
2011-05-05,88.27
2011-05-06,88.27
2011-05-07,76.44
2011-05-08,74.62
2011-05-09,88.27
2011-05-10,91.0
2011-05-11,88.27
2011-05-12,85.54
2011-05-13,89.18
2011-05-14,73.71000000000001
2011-05-15,84.63000000000001
2011-05-16,88.27
2011-05-17,91.0
2011-05-18,86.45
2011-05-19,87.36
2011-05-20,80.99000000000001
2011-05-21,74.62
2011-05-22,73.71000000000001
2011-05-23,78.26
2011-05-24,86.45
2011-05-25,81.9
2011-05-26,78.26
2011-05-27,82.81
2011-05-28,83.72
2011-05-29,69.16
2011-05-30,68.25
2011-05-31,85.54
2011-06-01,82.8
2011-06-02,83.7
2011-06-03,76.5
2011-06-04,68.4
2011-06-05,72.0
2011-06-06,77.4
2011-06-07,85.5
2011-06-08,82.8
2011-06-09,82.8
2011-06-10,80.10000000000001
2011-06-11,70.2
2011-06-12,72.0
2011-06-13,81.9
2011-06-14,88.2
2011-06-15,85.5
2011-06-16,90.0
2011-06-17,85.5
2011-06-18,70.2
2011-06-19,72.0
2011-06-20,83.7
2011-06-21,89.10000000000001
2011-06-22,85.5
2011-06-23,88.2
2011-06-24,81.0
2011-06-25,63.9
2011-06-26,66.60000000000001
2011-06-27,85.5
2011-06-28,90.0
2011-06-29,81.9
2011-06-30,86.4
2011-07-01,78.26
2011-07-02,62.78
2011-07-03,61.92
2011-07-04,67.94
2011-07-05,73.96
2011-07-06,79.98
2011-07-07,86.0
2011-07-08,70.52
2011-07-09,61.92
2011-07-10,61.06
2011-07-11,73.1
2011-07-12,79.12
2011-07-13,70.52
2011-07-14,75.67999999999999
2011-07-15,70.52
2011-07-16,61.92
2011-07-17,61.06
2011-07-18,73.96
2011-07-19,76.53999999999999
2011-07-20,78.26
2011-07-21,78.26
2011-07-22,77.4
2011-07-23,59.339999999999996
2011-07-24,61.06
2011-07-25,73.1
2011-07-26,76.53999999999999
2011-07-27,76.53999999999999
2011-07-28,74.82
2011-07-29,75.67999999999999
2011-07-30,57.62
2011-07-31,55.04
2011-08-01,85.56
2011-08-02,90.21000000000001
2011-08-03,93.0
2011-08-04,84.63000000000001
2011-08-05,79.98
2011-08-06,67.89
2011-08-07,72.54
2011-08-08,85.56
2011-08-09,90.21000000000001
2011-08-10,89.28
2011-08-11,86.49000000000001
2011-08-12,79.98
2011-08-13,77.19
2011-08-14,75.33
2011-08-15,85.56
2011-08-16,92.07000000000001
2011-08-17,93.0
2011-08-18,91.14
2011-08-19,88.35000000000001
2011-08-20,73.47
2011-08-21,73.47
2011-08-22,89.28
2011-08-23,83.7
2011-08-24,92.07000000000001
2011-08-25,89.28
2011-08-26,79.05
2011-08-27,74.4
2011-08-28,73.47
2011-08-29,87.42
2011-08-30,88.35000000000001
2011-08-31,91.14
2011-09-01,88.0
2011-09-02,76.56
2011-09-03,66.88
2011-09-04,65.12
