date,Chevron
2011-01-01,17.48
2011-01-02,14.44
2011-01-03,20.52
2011-01-04,20.9
2011-01-05,20.9
2011-01-06,22.8
2011-01-07,18.240000000000002
2011-01-08,18.240000000000002
2011-01-09,16.34
2011-01-10,20.14
2011-01-11,21.28
2011-01-12,20.9
2011-01-13,20.14
2011-01-14,16.72
2011-01-15,18.240000000000002
2011-01-16,15.58
2011-01-17,18.240000000000002
2011-01-18,22.42
2011-01-19,21.66
2011-01-20,22.04
2011-01-21,24.7
2011-01-22,12.16
2011-01-23,15.2
2011-01-24,22.42
2011-01-25,19.38
2011-01-26,20.52
2011-01-27,21.28
2011-01-28,28.12
2011-01-29,22.8
2011-01-30,38.0
2011-01-31,27.740000000000002
2011-02-01,32.68
2011-02-02,30.4
2011-02-03,25.84
2011-02-04,25.84
2011-02-05,24.32
2011-02-06,19.0
2011-02-07,23.94
2011-02-08,25.46
2011-02-09,22.42
2011-02-10,31.54
2011-02-11,22.42
2011-02-12,16.72
2011-02-13,13.68
2011-02-14,23.94
2011-02-15,38.0
2011-02-16,38.0
2011-02-17,25.080000000000002
2011-02-18,30.4
2011-02-19,18.62
2011-02-20,19.38
2011-02-21,24.32
2011-02-22,29.26
2011-02-23,34.58
2011-02-24,30.4
2011-02-25,32.68
2011-02-26,20.52
2011-02-27,19.76
2011-02-28,27.36
2011-03-01,38.0
2011-03-02,31.16
2011-03-03,30.4
2011-03-04,34.2
2011-03-05,19.38
2011-03-06,24.32
2011-03-07,30.4
2011-03-08,33.44
2011-03-09,35.34
2011-03-10,36.480000000000004
2011-03-11,29.26
2011-03-12,21.28
2011-03-13,27.36
2011-03-14,27.740000000000002
2011-03-15,33.82
2011-03-16,27.36
2011-03-17,26.22
2011-03-18,29.64
2011-03-19,19.76
2011-03-20,22.8
2011-03-21,29.64
2011-03-22,28.88
2011-03-23,30.78
2011-03-24,27.36
2011-03-25,34.2
2011-03-26,22.42
2011-03-27,20.52
2011-03-28,28.12
2011-03-29,24.7
2011-03-30,30.4
2011-03-31,30.02
2011-04-01,34.71
2011-04-02,23.01
2011-04-03,24.57
2011-04-04,31.59
2011-04-05,31.200000000000003
2011-04-06,31.98
2011-04-07,33.54
2011-04-08,32.76
2011-04-09,25.740000000000002
2011-04-10,26.130000000000003
