date,CocaCola
2011-01-01,36.5
2011-01-02,18.0
2011-01-03,23.0
2011-01-04,41.0
2011-01-05,22.5
2011-01-06,32.0
2011-01-07,14.0
2011-01-08,26.0
2011-01-09,17.0
2011-01-10,31.0
2011-01-11,26.0
2011-01-12,43.5
2011-01-13,31.0
2011-01-14,36.0
2011-01-15,26.0
2011-01-16,43.0
2011-01-17,34.5
2011-01-18,26.0
2011-01-19,39.0
2011-01-20,17.5
2011-01-21,13.5
2011-01-22,39.0
2011-01-23,50.0
2011-01-24,43.5
2011-01-25,17.0
2011-01-26,47.0
2011-01-27,21.5
2011-01-28,18.0
2011-01-29,33.0
2011-01-30,21.5
2011-01-31,32.5
2011-02-01,13.780000000000001
2011-02-02,18.55
2011-02-03,9.540000000000001
2011-02-04,14.84
2011-02-05,18.55
2011-02-06,24.91
2011-02-07,53.0
2011-02-08,33.39
2011-02-09,38.690000000000005
2011-02-10,49.29
2011-02-11,25.44
2011-02-12,38.160000000000004
2011-02-13,51.940000000000005
2011-02-14,10.07
2011-02-15,29.150000000000002
2011-02-16,48.760000000000005
2011-02-17,19.61
2011-02-18,25.970000000000002
2011-02-19,25.44
2011-02-20,12.72
2011-02-21,31.270000000000003
2011-02-22,19.61
2011-02-23,24.380000000000003
2011-02-24,19.080000000000002
2011-02-25,10.07
2011-02-26,12.72
2011-02-27,12.72
2011-02-28,19.080000000000002
2011-03-01,25.85
2011-03-02,21.450000000000003
2011-03-03,39.6
2011-03-04,23.1
2011-03-05,25.3
2011-03-06,16.5
2011-03-07,30.250000000000004
2011-03-08,25.85
2011-03-09,38.5
2011-03-10,39.050000000000004
2011-03-11,26.400000000000002
2011-03-12,36.300000000000004
2011-03-13,43.45
2011-03-14,34.650000000000006
2011-03-15,34.650000000000006
2011-03-16,45.650000000000006
2011-03-17,41.25
2011-03-18,33.550000000000004
2011-03-19,25.85
2011-03-20,17.6
2011-03-21,34.650000000000006
2011-03-22,52.25000000000001
2011-03-23,38.5
2011-03-24,44.0
2011-03-25,55.00000000000001
2011-03-26,28.05
2011-03-27,42.35
2011-03-28,52.25000000000001
2011-03-29,47.85
2011-03-30,12.65
2011-03-31,52.800000000000004
2011-04-01,20.65
2011-04-02,13.569999999999999
2011-04-03,26.549999999999997
2011-04-04,14.75
2011-04-05,34.22
2011-04-06,25.369999999999997
2011-04-07,35.4
2011-04-08,15.34
2011-04-09,12.979999999999999
2011-04-10,13.569999999999999
2011-04-11,10.03
2011-04-12,14.75
2011-04-13,24.779999999999998
2011-04-14,20.06
2011-04-15,21.24
2011-04-16,12.979999999999999
2011-04-17,53.69
2011-04-18,20.06
2011-04-19,10.03
2011-04-20,29.5
2011-04-21,41.89
2011-04-22,11.209999999999999
2011-04-23,13.569999999999999
2011-04-24,28.32
2011-04-25,40.12
2011-04-26,34.22
2011-04-27,24.189999999999998
2011-04-28,59.0
2011-04-29,20.65
2011-04-30,33.04
2011-05-01,53.29
2011-05-02,28.47
2011-05-03,24.09
2011-05-04,34.31
2011-05-05,29.93
2011-05-06,16.06
2011-05-07,13.87
2011-05-08,35.04
2011-05-09,59.129999999999995
2011-05-10,35.04
2011-05-11,54.75
2011-05-12,40.15
2011-05-13,31.39
2011-05-14,26.28
2011-05-15,26.28
2011-05-16,19.71
2011-05-17,19.71
2011-05-18,44.53
2011-05-19,24.82
2011-05-20,21.169999999999998
2011-05-21,19.71
2011-05-22,67.16
2011-05-23,39.42
2011-05-24,14.6
2011-05-25,34.31
2011-05-26,30.66
2011-05-27,32.85
2011-05-28,35.04
2011-05-29,65.7
2011-05-30,73.0
2011-05-31,0.0
2011-06-01,40.88
2011-06-02,35.28
2011-06-03,36.96
2011-06-04,24.080000000000002
2011-06-05,56.00000000000001
2011-06-06,47.6
2011-06-07,28.560000000000002
2011-06-08,47.040000000000006
2011-06-09,17.92
2011-06-10,18.48
2011-06-11,31.360000000000003
2011-06-12,31.360000000000003
2011-06-13,29.680000000000003
2011-06-14,40.88
2011-06-15,24.080000000000002
2011-06-16,17.92
2011-06-17,51.52
2011-06-18,48.160000000000004
2011-06-19,40.88
2011-06-20,40.32000000000001
2011-06-21,23.520000000000003
2011-06-22,17.360000000000003
2011-06-23,29.680000000000003
2011-06-24,0.0
2011-06-25,24.080000000000002
2011-06-26,24.080000000000002
2011-06-27,41.440000000000005
2011-06-28,34.720000000000006
2011-06-29,11.760000000000002
2011-06-30,36.400000000000006
2011-07-01,17.92
2011-07-02,30.080000000000002
2011-07-03,35.2
2011-07-04,22.400000000000002
2011-07-05,12.8
2011-07-06,24.32
2011-07-07,30.080000000000002
2011-07-08,10.88
2011-07-09,48.0
2011-07-10,25.6
2011-07-11,10.88
2011-07-12,16.0
2011-07-13,19.84
2011-07-14,33.28
2011-07-15,11.52
2011-07-16,64.0
2011-07-17,32.64
2011-07-18,20.48
2011-07-19,26.88
2011-07-20,18.56
2011-07-21,19.2
2011-07-22,14.08
2011-07-23,16.64
2011-07-24,17.28
2011-07-25,16.0
2011-07-26,18.56
2011-07-27,24.32
2011-07-28,26.88
2011-07-29,33.28
2011-07-30,31.36
2011-07-31,21.76
2011-08-01,36.48
2011-08-02,25.65
2011-08-03,43.31999999999999
2011-08-04,29.069999999999997
2011-08-05,22.799999999999997
2011-08-06,21.09
2011-08-07,28.499999999999996
2011-08-08,39.33
2011-08-09,24.509999999999998
2011-08-10,25.65
2011-08-11,44.459999999999994
2011-08-12,42.18
2011-08-13,33.059999999999995
2011-08-14,21.09
2011-08-15,16.529999999999998
2011-08-16,46.739999999999995
2011-08-17,25.65
2011-08-18,11.399999999999999
2011-08-19,56.99999999999999
2011-08-20,32.489999999999995
2011-08-21,18.81
2011-08-22,10.829999999999998
2011-08-23,21.09
2011-08-24,21.659999999999997
2011-08-25,28.499999999999996
2011-08-26,29.639999999999997
2011-08-27,31.349999999999998
2011-08-28,30.779999999999998
2011-08-29,21.09
2011-08-30,46.169999999999995
2011-08-31,35.339999999999996
2011-09-01,46.4
2011-09-02,26.099999999999998
2011-09-03,33.64
2011-09-04,51.04
2011-09-05,24.939999999999998
2011-09-06,45.239999999999995
2011-09-07,10.44
2011-09-08,41.76
2011-09-09,21.459999999999997
2011-09-10,19.72
2011-09-11,38.86
2011-09-12,41.76
2011-09-13,23.779999999999998
2011-09-14,33.64
2011-09-15,37.699999999999996
2011-09-16,22.04
2011-09-17,19.72
2011-09-18,31.9
2011-09-19,34.22
2011-09-20,37.12
2011-09-21,41.18
2011-09-22,23.779999999999998
2011-09-23,28.419999999999998
2011-09-24,26.099999999999998
2011-09-25,38.86
2011-09-26,33.64
2011-09-27,30.159999999999997
2011-09-28,47.559999999999995
2011-09-29,41.18
2011-09-30,57.99999999999999
2011-10-01,29.2
2011-10-02,35.769999999999996
2011-10-03,62.78
2011-10-04,43.8
2011-10-05,71.53999999999999
2011-10-06,27.74
2011-10-07,59.86
2011-10-08,29.2
2011-10-09,35.769999999999996
2011-10-10,16.79
2011-10-11,46.72
2011-10-12,26.28
2011-10-13,56.21
2011-10-14,17.52
2011-10-15,50.37
2011-10-16,28.47
2011-10-17,44.53
2011-10-18,71.53999999999999
2011-10-19,43.8
2011-10-20,50.37
2011-10-21,47.449999999999996
2011-10-22,73.0
2011-10-23,50.37
2011-10-24,43.8
2011-10-25,16.06
2011-10-26,27.009999999999998
2011-10-27,27.74
2011-10-28,23.36
2011-10-29,13.87
2011-10-30,43.07
2011-10-31,68.62
2011-11-01,39.04
2011-11-02,61.0
2011-11-03,37.21
2011-11-04,42.089999999999996
2011-11-05,42.699999999999996
2011-11-06,31.11
2011-11-07,20.13
2011-11-08,44.53
2011-11-09,39.65
2011-11-10,26.84
2011-11-11,31.72
2011-11-12,38.43
2011-11-13,25.009999999999998
2011-11-14,29.89
2011-11-15,24.4
2011-11-16,46.36
2011-11-17,26.84
2011-11-18,34.769999999999996
2011-11-19,25.62
2011-11-20,41.48
2011-11-21,36.6
