date,flu
2011-01-01,7.81
2011-01-02,8.8
2011-01-03,10.56
2011-01-04,9.9
2011-01-05,10.01
2011-01-06,9.790000000000001
2011-01-07,8.36
2011-01-08,8.47
2011-01-09,7.37
2011-01-10,8.91
2011-01-11,9.02
2011-01-12,8.25
2011-01-13,9.24
2011-01-14,7.92
2011-01-15,8.14
2011-01-16,7.7
2011-01-17,8.03
2011-01-18,9.9
2011-01-19,9.68
2011-01-20,8.58
2011-01-21,8.58
2011-01-22,8.91
2011-01-23,9.35
2011-01-24,9.790000000000001
2011-01-25,10.78
2011-01-26,11.0
2011-01-27,10.56
2011-01-28,9.790000000000001
2011-01-29,10.01
2011-01-30,9.46
2011-01-31,10.78
2011-02-01,10.44
2011-02-02,8.76
2011-02-03,10.44
2011-02-04,9.36
2011-02-05,8.16
2011-02-06,8.28
2011-02-07,10.08
2011-02-08,11.639999999999999
2011-02-09,11.28
2011-02-10,10.32
2011-02-11,10.2
2011-02-12,9.48
2011-02-13,11.16
2011-02-14,10.08
2011-02-15,10.799999999999999
2011-02-16,12.0
2011-02-17,11.16
2011-02-18,10.799999999999999
2011-02-19,9.24
2011-02-20,9.959999999999999
2011-02-21,9.48
2011-02-22,9.84
2011-02-23,9.48
2011-02-24,9.24
2011-02-25,9.0
2011-02-26,8.04
2011-02-27,8.04
2011-02-28,9.48
2011-03-01,6.65
2011-03-02,7.000000000000001
2011-03-03,6.720000000000001
2011-03-04,5.74
2011-03-05,5.32
2011-03-06,5.74
2011-03-07,6.0200000000000005
2011-03-08,5.95
2011-03-09,6.0200000000000005
2011-03-10,5.53
2011-03-11,4.69
2011-03-12,4.83
2011-03-13,4.62
2011-03-14,4.83
2011-03-15,5.250000000000001
2011-03-16,4.69
2011-03-17,4.83
2011-03-18,4.340000000000001
2011-03-19,4.0600000000000005
2011-03-20,4.9
2011-03-21,4.130000000000001
2011-03-22,4.69
2011-03-23,4.130000000000001
2011-03-24,4.48
2011-03-25,3.99
2011-03-26,3.6400000000000006
2011-03-27,3.5000000000000004
2011-03-28,4.2700000000000005
2011-03-29,4.550000000000001
2011-03-30,3.99
2011-03-31,3.3600000000000003
2011-04-01,5.0
2011-04-02,4.8500000000000005
2011-04-03,4.95
2011-04-04,4.800000000000001
2011-04-05,4.7
2011-04-06,5.0
2011-04-07,4.55
2011-04-08,3.75
2011-04-09,4.1000000000000005
2011-04-10,4.45
2011-04-11,4.45
2011-04-12,4.75
2011-04-13,4.800000000000001
2011-04-14,4.15
2011-04-15,4.0
2011-04-16,3.6
2011-04-17,3.7
2011-04-18,4.0
2011-04-19,4.2
2011-04-20,4.3500000000000005
2011-04-21,3.45
2011-04-22,2.95
2011-04-23,3.5500000000000003
2011-04-24,4.15
2011-04-25,3.95
2011-04-26,4.9
2011-04-27,4.3500000000000005
2011-04-28,3.8000000000000003
2011-04-29,3.2
2011-04-30,2.9000000000000004
2011-05-01,3.04
2011-05-02,3.0
2011-05-03,3.68
2011-05-04,3.44
2011-05-05,3.24
2011-05-06,2.96
2011-05-07,2.8000000000000003
2011-05-08,3.12
2011-05-09,3.0
2011-05-10,3.88
2011-05-11,3.68
2011-05-12,3.2800000000000002
2011-05-13,2.64
2011-05-14,3.0
2011-05-15,2.88
2011-05-16,3.12
2011-05-17,4.0
2011-05-18,3.64
2011-05-19,3.44
2011-05-20,2.84
2011-05-21,2.88
2011-05-22,3.44
2011-05-23,3.12
2011-05-24,3.16
2011-05-25,2.72
2011-05-26,2.52
2011-05-27,2.6
2011-05-28,2.2800000000000002
2011-05-29,2.52
2011-05-30,2.68
2011-05-31,2.4
2011-06-01,2.52
2011-06-02,2.9099999999999997
2011-06-03,2.31
2011-06-04,2.28
2011-06-05,2.13
2011-06-06,2.61
2011-06-07,2.13
2011-06-08,3.0
2011-06-09,2.1
2011-06-10,2.13
2011-06-11,2.55
2011-06-12,2.2199999999999998
2011-06-13,2.79
2011-06-14,2.55
2011-06-15,2.4299999999999997
2011-06-16,2.04
2011-06-17,2.31
2011-06-18,1.8599999999999999
2011-06-19,1.98
2011-06-20,2.01
2011-06-21,1.77
2011-06-22,2.07
2011-06-23,1.7999999999999998
2011-06-24,2.01
2011-06-25,1.89
2011-06-26,2.34
2011-06-27,2.2199999999999998
2011-06-28,1.68
2011-06-29,2.04
2011-06-30,1.77
2011-07-01,1.6400000000000001
2011-07-02,1.52
2011-07-03,1.5
2011-07-04,1.52
2011-07-05,1.6
2011-07-06,1.92
2011-07-07,1.78
2011-07-08,1.58
2011-07-09,1.6600000000000001
2011-07-10,1.62
2011-07-11,1.8800000000000001
2011-07-12,1.62
2011-07-13,1.78
2011-07-14,1.92
2011-07-15,1.58
2011-07-16,1.28
2011-07-17,1.44
2011-07-18,1.92
2011-07-19,1.9000000000000001
2011-07-20,2.0
2011-07-21,1.6600000000000001
2011-07-22,1.4000000000000001
2011-07-23,1.8
2011-07-24,1.8
2011-07-25,1.7
2011-07-26,1.58
2011-07-27,1.54
2011-07-28,1.54
2011-07-29,1.56
2011-07-30,1.58
2011-07-31,1.28
2011-08-01,0.8999999999999999
2011-08-02,1.1099999999999999
2011-08-03,1.44
2011-08-04,1.08
2011-08-05,0.99
2011-08-06,1.29
2011-08-07,1.2
2011-08-08,1.41
2011-08-09,1.23
2011-08-10,1.3499999999999999
2011-08-11,1.2
2011-08-12,1.2
2011-08-13,1.29
2011-08-14,1.14
2011-08-15,1.65
2011-08-16,1.5899999999999999
2011-08-17,1.65
2011-08-18,1.65
2011-08-19,1.53
2011-08-20,1.41
2011-08-21,1.65
2011-08-22,2.04
2011-08-23,1.7999999999999998
2011-08-24,1.7999999999999998
2011-08-25,1.92
2011-08-26,1.71
2011-08-27,1.3499999999999999
2011-08-28,1.38
2011-08-29,2.25
2011-08-30,3.0
2011-08-31,2.37
2011-09-01,3.2
2011-09-02,3.2
2011-09-03,2.64
2011-09-04,2.96
2011-09-05,2.88
2011-09-06,4.32
2011-09-07,4.4
2011-09-08,5.04
2011-09-09,4.08
2011-09-10,4.16
2011-09-11,3.7600000000000002
2011-09-12,5.44
2011-09-13,5.5200000000000005
2011-09-14,5.68
2011-09-15,5.5200000000000005
