date,Google
2011-01-01,39.15
2011-01-02,37.800000000000004
2011-01-03,39.15
2011-01-04,40.050000000000004
2011-01-05,40.5
2011-01-06,40.95
2011-01-07,40.95
2011-01-08,39.15
2011-01-09,38.25
2011-01-10,39.15
2011-01-11,40.050000000000004
2011-01-12,40.5
2011-01-13,41.85
2011-01-14,41.85
2011-01-15,39.6
2011-01-16,37.35
2011-01-17,40.050000000000004
2011-01-18,41.4
2011-01-19,43.2
2011-01-20,45.0
2011-01-21,43.65
2011-01-22,40.95
2011-01-23,37.800000000000004
2011-01-24,39.6
2011-01-25,43.2
2011-01-26,42.300000000000004
2011-01-27,41.85
2011-01-28,41.85
2011-01-29,40.050000000000004
2011-01-30,39.15
2011-01-31,41.85
2011-02-01,44.18
2011-02-02,42.769999999999996
2011-02-03,45.12
2011-02-04,44.18
2011-02-05,41.36
2011-02-06,39.48
2011-02-07,43.71
2011-02-08,47.0
2011-02-09,45.589999999999996
2011-02-10,43.239999999999995
2011-02-11,45.589999999999996
2011-02-12,42.769999999999996
2011-02-13,40.89
2011-02-14,43.239999999999995
2011-02-15,44.65
2011-02-16,45.589999999999996
2011-02-17,45.589999999999996
2011-02-18,44.18
2011-02-19,41.83
2011-02-20,39.48
2011-02-21,40.419999999999995
2011-02-22,42.769999999999996
2011-02-23,42.769999999999996
2011-02-24,43.239999999999995
2011-02-25,42.769999999999996
2011-02-26,40.419999999999995
2011-02-27,39.48
2011-02-28,41.83
2011-03-01,43.86
2011-03-02,45.9
2011-03-03,47.43
2011-03-04,47.94
2011-03-05,45.9
2011-03-06,45.39
2011-03-07,45.9
2011-03-08,48.45
2011-03-09,47.94
2011-03-10,47.43
2011-03-11,49.47
2011-03-12,47.94
2011-03-13,45.9
2011-03-14,47.43
2011-03-15,48.96
2011-03-16,48.45
2011-03-17,47.43
2011-03-18,47.94
2011-03-19,46.410000000000004
2011-03-20,44.88
2011-03-21,46.92
2011-03-22,48.45
2011-03-23,47.43
2011-03-24,49.980000000000004
2011-03-25,48.45
2011-03-26,47.43
2011-03-27,45.9
2011-03-28,46.92
2011-03-29,47.94
2011-03-30,49.980000000000004
2011-03-31,51.0
2011-04-01,51.0
2011-04-02,46.410000000000004
2011-04-03,43.86
2011-04-04,44.37
2011-04-05,43.86
2011-04-06,44.37
2011-04-07,43.86
2011-04-08,43.35
2011-04-09,42.33
2011-04-10,42.33
2011-04-11,42.33
2011-04-12,45.39
2011-04-13,44.37
2011-04-14,44.37
2011-04-15,45.39
2011-04-16,44.37
2011-04-17,42.33
2011-04-18,42.33
2011-04-19,42.84
2011-04-20,43.86
2011-04-21,42.84
2011-04-22,45.39
2011-04-23,42.33
2011-04-24,42.33
2011-04-25,42.84
2011-04-26,44.88
2011-04-27,44.37
2011-04-28,44.37
2011-04-29,43.86
2011-04-30,43.35
2011-05-01,36.72
2011-05-02,38.34
2011-05-03,37.260000000000005
2011-05-04,38.34
2011-05-05,38.88
2011-05-06,38.34
2011-05-07,37.260000000000005
2011-05-08,37.260000000000005
2011-05-09,39.96
2011-05-10,41.040000000000006
2011-05-11,44.82
2011-05-12,41.040000000000006
2011-05-13,40.5
2011-05-14,38.88
2011-05-15,37.800000000000004
2011-05-16,38.34
2011-05-17,38.88
2011-05-18,38.88
2011-05-19,39.42
2011-05-20,54.0
2011-05-21,43.2
2011-05-22,37.260000000000005
2011-05-23,38.34
2011-05-24,38.88
2011-05-25,38.34
2011-05-26,38.34
2011-05-27,39.96
2011-05-28,37.800000000000004
2011-05-29,37.260000000000005
2011-05-30,37.260000000000005
2011-05-31,37.260000000000005
2011-06-01,41.040000000000006
2011-06-02,41.040000000000006
2011-06-03,41.580000000000005
2011-06-04,41.580000000000005
2011-06-05,40.5
2011-06-06,39.96
2011-06-07,41.580000000000005
2011-06-08,41.040000000000006
2011-06-09,54.0
2011-06-10,54.0
2011-06-11,47.52
2011-06-12,42.120000000000005
2011-06-13,40.5
2011-06-14,41.040000000000006
2011-06-15,42.120000000000005
2011-06-16,42.660000000000004
2011-06-17,42.120000000000005
2011-06-18,41.040000000000006
2011-06-19,41.040000000000006
2011-06-20,40.5
2011-06-21,41.580000000000005
2011-06-22,40.5
2011-06-23,41.040000000000006
2011-06-24,40.5
2011-06-25,42.120000000000005
2011-06-26,40.5
2011-06-27,39.42
2011-06-28,41.580000000000005
2011-06-29,45.36
2011-06-30,47.52
2011-07-01,56.64
2011-07-02,54.87
2011-07-03,52.51
2011-07-04,56.05
2011-07-05,51.33
2011-07-06,53.099999999999994
2011-07-07,54.279999999999994
2011-07-08,55.459999999999994
2011-07-09,58.41
2011-07-10,56.05
2011-07-11,56.64
2011-07-12,59.0
2011-07-13,58.41
2011-07-14,57.82
2011-07-15,56.64
2011-07-16,56.64
2011-07-17,54.279999999999994
2011-07-18,53.099999999999994
2011-07-19,52.51
2011-07-20,56.05
2011-07-21,53.099999999999994
2011-07-22,57.23
2011-07-23,53.099999999999994
2011-07-24,51.919999999999995
2011-07-25,50.15
2011-07-26,51.33
2011-07-27,52.51
2011-07-28,51.919999999999995
2011-07-29,53.099999999999994
2011-07-30,53.099999999999994
2011-07-31,51.33
2011-08-01,46.980000000000004
2011-08-02,48.6
2011-08-03,50.220000000000006
2011-08-04,48.6
2011-08-05,49.68000000000001
2011-08-06,54.0
2011-08-07,50.220000000000006
2011-08-08,47.52
2011-08-09,49.68000000000001
2011-08-10,48.6
2011-08-11,50.220000000000006
2011-08-12,49.68000000000001
2011-08-13,49.68000000000001
2011-08-14,48.06
2011-08-15,48.6
2011-08-16,49.68000000000001
2011-08-17,52.38
2011-08-18,50.220000000000006
2011-08-19,49.68000000000001
2011-08-20,49.14
2011-08-21,48.06
2011-08-22,48.06
2011-08-23,48.06
2011-08-24,51.84
2011-08-25,49.68000000000001
2011-08-26,50.220000000000006
2011-08-27,49.68000000000001
2011-08-28,49.68000000000001
2011-08-29,48.06
2011-08-30,50.220000000000006
2011-08-31,49.14
2011-09-01,40.71
2011-09-02,40.71
2011-09-03,40.12
2011-09-04,39.53
2011-09-05,40.12
2011-09-06,42.48
2011-09-07,41.89
2011-09-08,43.07
2011-09-09,41.3
2011-09-10,40.71
2011-09-11,40.12
2011-09-12,40.71
2011-09-13,41.3
2011-09-14,41.89
2011-09-15,43.07
2011-09-16,43.66
2011-09-17,40.71
2011-09-18,40.12
2011-09-19,40.71
2011-09-20,42.48
2011-09-21,47.79
2011-09-22,47.79
2011-09-23,47.79
2011-09-24,50.15
2011-09-25,43.66
2011-09-26,42.48
2011-09-27,59.0
2011-09-28,47.199999999999996
2011-09-29,42.48
2011-09-30,42.48
2011-10-01,52.64000000000001
2011-10-02,51.52
2011-10-03,52.64000000000001
2011-10-04,52.64000000000001
2011-10-05,53.760000000000005
2011-10-06,56.00000000000001
2011-10-07,53.760000000000005
2011-10-08,52.080000000000005
2011-10-09,50.400000000000006
2011-10-10,52.080000000000005
2011-10-11,52.080000000000005
2011-10-12,56.00000000000001
2011-10-13,55.440000000000005
2011-10-14,54.88
2011-10-15,52.080000000000005
2011-10-16,51.52
2011-10-17,52.080000000000005
2011-10-18,53.2
2011-10-19,53.760000000000005
2011-10-20,54.32000000000001
2011-10-21,53.760000000000005
2011-10-22,52.080000000000005
2011-10-23,49.28
2011-10-24,52.080000000000005
2011-10-25,54.32000000000001
2011-10-26,53.2
2011-10-27,53.760000000000005
2011-10-28,53.2
2011-10-29,50.96000000000001
2011-10-30,50.400000000000006
2011-10-31,54.32000000000001
2011-11-01,51.3
2011-11-02,51.87
2011-11-03,53.58
2011-11-04,56.99999999999999
2011-11-05,51.3
2011-11-06,49.019999999999996
2011-11-07,52.44
2011-11-08,52.44
2011-11-09,51.3
2011-11-10,51.87
2011-11-11,51.3
2011-11-12,49.019999999999996
2011-11-13,46.169999999999995
2011-11-14,50.16
2011-11-15,50.73
2011-11-16,52.44
2011-11-17,54.15
2011-11-18,52.44
2011-11-19,50.16
2011-11-20,48.449999999999996
2011-11-21,49.589999999999996
2011-11-22,50.73
2011-11-23,50.73
2011-11-24,49.589999999999996
2011-11-25,47.309999999999995
2011-11-26,47.309999999999995
2011-11-27,46.739999999999995
2011-11-28,48.449999999999996
2011-11-29,50.16
2011-11-30,53.58
2011-12-01,48.449999999999996
2011-12-02,47.309999999999995
2011-12-03,45.029999999999994
2011-12-04,44.459999999999994
2011-12-05,45.599999999999994
2011-12-06,46.739999999999995
2011-12-07,46.739999999999995
2011-12-08,47.879999999999995
2011-12-09,47.309999999999995
2011-12-10,44.459999999999994
2011-12-11,42.74999999999999
2011-12-12,45.029999999999994
2011-12-13,45.599999999999994
2011-12-14,46.739999999999995
2011-12-15,46.739999999999995
2011-12-16,46.739999999999995
2011-12-17,47.879999999999995
2011-12-18,55.85999999999999
2011-12-19,51.87
2011-12-20,50.73
2011-12-21,48.449999999999996
2011-12-22,47.879999999999995
2011-12-23,49.019999999999996
2011-12-24,54.15
2011-12-25,56.99999999999999
2011-12-26,51.87
2011-12-27,47.309999999999995
2011-12-28,46.169999999999995
2011-12-29,46.169999999999995
2011-12-30,45.599999999999994
2011-12-31,46.739999999999995
2012-01-01,43.07
2012-01-02,43.07
2012-01-03,43.07
2012-01-04,43.66
2012-01-05,44.839999999999996
2012-01-06,44.25
2012-01-07,43.66
2012-01-08,43.66
2012-01-09,43.07
2012-01-10,44.25
2012-01-11,46.61
2012-01-12,46.61
2012-01-13,45.43
2012-01-14,43.66
2012-01-15,41.3
2012-01-16,41.89
2012-01-17,44.25
2012-01-18,59.0
2012-01-19,51.33
2012-01-20,46.61
2012-01-21,44.25
2012-01-22,42.48
2012-01-23,43.66
2012-01-24,45.43
2012-01-25,45.43
2012-01-26,46.019999999999996
2012-01-27,46.61
2012-01-28,46.019999999999996
2012-01-29,43.66
2012-01-30,44.25
2012-01-31,45.43
2012-02-01,54.279999999999994
2012-02-02,55.459999999999994
2012-02-03,54.87
2012-02-04,53.099999999999994
2012-02-05,51.919999999999995
2012-02-06,51.919999999999995
2012-02-07,55.459999999999994
2012-02-08,56.05
2012-02-09,55.459999999999994
2012-02-10,54.87
2012-02-11,51.919999999999995
2012-02-12,51.919999999999995
2012-02-13,51.919999999999995
2012-02-14,56.05
2012-02-15,56.05
2012-02-16,55.459999999999994
2012-02-17,55.459999999999994
2012-02-18,53.099999999999994
2012-02-19,51.919999999999995
2012-02-20,51.919999999999995
2012-02-21,53.69
2012-02-22,58.41
2012-02-23,57.23
2012-02-24,55.459999999999994
2012-02-25,53.099999999999994
2012-02-26,53.099999999999994
2012-02-27,54.279999999999994
2012-02-28,55.459999999999994
2012-02-29,59.0
2012-03-01,60.0
2012-03-02,58.8
2012-03-03,54.0
2012-03-04,52.8
2012-03-05,54.6
2012-03-06,56.4
2012-03-07,57.599999999999994
2012-03-08,59.4
2012-03-09,58.8
2012-03-10,56.4
2012-03-11,55.199999999999996
2012-03-12,55.199999999999996
2012-03-13,57.599999999999994
2012-03-14,58.199999999999996
2012-03-15,58.199999999999996
2012-03-16,58.199999999999996
2012-03-17,58.8
2012-03-18,55.199999999999996
2012-03-19,57.0
2012-03-20,59.4
2012-03-21,58.199999999999996
2012-03-22,58.199999999999996
2012-03-23,57.599999999999994
2012-03-24,55.199999999999996
2012-03-25,54.0
2012-03-26,55.8
2012-03-27,58.8
2012-03-28,58.199999999999996
2012-03-29,56.4
2012-03-30,57.0
2012-03-31,55.199999999999996
2012-04-01,55.199999999999996
2012-04-02,52.199999999999996
2012-04-03,51.0
2012-04-04,53.4
2012-04-05,55.199999999999996
2012-04-06,51.6
2012-04-07,49.8
2012-04-08,51.0
2012-04-09,53.4
2012-04-10,51.6
2012-04-11,51.6
2012-04-12,52.199999999999996
2012-04-13,51.0
2012-04-14,50.4
2012-04-15,50.4
2012-04-16,51.0
2012-04-17,53.4
2012-04-18,54.0
2012-04-19,52.199999999999996
2012-04-20,52.199999999999996
2012-04-21,50.4
