date,Netflix
2011-01-01,66.0
2011-01-02,75.0
2011-01-03,53.25
2011-01-04,47.25
2011-01-05,42.75
2011-01-06,43.5
2011-01-07,45.75
2011-01-08,64.5
2011-01-09,65.25
2011-01-10,46.5
2011-01-11,44.25
2011-01-12,46.5
2011-01-13,44.25
2011-01-14,44.25
2011-01-15,65.25
2011-01-16,64.5
2011-01-17,57.0
2011-01-18,44.25
2011-01-19,45.0
2011-01-20,43.5
2011-01-21,45.0
2011-01-22,67.5
2011-01-23,67.5
2011-01-24,45.0
2011-01-25,43.5
2011-01-26,42.75
2011-01-27,44.25
2011-01-28,50.25
2011-01-29,66.0
2011-01-30,66.75
2011-01-31,53.25
2011-02-01,46.24
2011-02-02,47.6
2011-02-03,42.84
2011-02-04,45.56
2011-02-05,65.96000000000001
2011-02-06,64.60000000000001
2011-02-07,39.440000000000005
2011-02-08,43.52
2011-02-09,40.800000000000004
2011-02-10,40.120000000000005
2011-02-11,41.480000000000004
2011-02-12,62.56
2011-02-13,65.96000000000001
2011-02-14,42.160000000000004
2011-02-15,42.160000000000004
2011-02-16,40.120000000000005
2011-02-17,40.120000000000005
2011-02-18,44.2
2011-02-19,63.24
2011-02-20,65.28
2011-02-21,53.040000000000006
2011-02-22,44.2
2011-02-23,43.52
2011-02-24,41.480000000000004
2011-02-25,44.2
2011-02-26,65.28
2011-02-27,68.0
2011-02-28,46.92
2011-03-01,41.3
2011-03-02,39.199999999999996
2011-03-03,39.9
2011-03-04,42.699999999999996
2011-03-05,62.99999999999999
2011-03-06,68.6
2011-03-07,44.8
2011-03-08,41.3
2011-03-09,42.0
2011-03-10,39.9
2011-03-11,40.599999999999994
2011-03-12,53.199999999999996
2011-03-13,51.8
2011-03-14,42.699999999999996
2011-03-15,42.699999999999996
2011-03-16,42.699999999999996
2011-03-17,41.3
2011-03-18,46.199999999999996
2011-03-19,63.699999999999996
2011-03-20,69.3
2011-03-21,45.5
2011-03-22,56.0
2011-03-23,69.3
2011-03-24,44.099999999999994
2011-03-25,45.5
2011-03-26,63.699999999999996
2011-03-27,70.0
2011-03-28,48.3
2011-03-29,44.8
2011-03-30,43.4
2011-03-31,42.0
2011-04-01,45.54
2011-04-02,62.78999999999999
2011-04-03,65.55
2011-04-04,47.61
2011-04-05,43.47
2011-04-06,41.4
2011-04-07,42.779999999999994
2011-04-08,44.16
2011-04-09,68.30999999999999
2011-04-10,65.55
2011-04-11,44.849999999999994
2011-04-12,42.779999999999994
2011-04-13,45.54
2011-04-14,41.4
2011-04-15,44.16
2011-04-16,62.099999999999994
2011-04-17,64.86
2011-04-18,45.54
2011-04-19,44.16
2011-04-20,44.16
2011-04-21,44.16
2011-04-22,51.059999999999995
2011-04-23,66.92999999999999
2011-04-24,69.0
2011-04-25,49.67999999999999
2011-04-26,44.16
2011-04-27,41.4
2011-04-28,40.019999999999996
2011-04-29,39.33
2011-04-30,60.029999999999994
2011-05-01,63.64
2011-05-02,39.22
2011-05-03,38.48
2011-05-04,38.48
2011-05-05,36.26
2011-05-06,39.22
2011-05-07,55.5
2011-05-08,60.68
2011-05-09,41.44
2011-05-10,47.36
2011-05-11,39.96
2011-05-12,39.96
2011-05-13,45.14
2011-05-14,65.86
2011-05-15,70.3
2011-05-16,48.1
2011-05-17,44.4
2011-05-18,42.92
2011-05-19,42.18
2011-05-20,42.92
2011-05-21,60.68
2011-05-22,64.38
2011-05-23,47.36
2011-05-24,42.92
2011-05-25,39.96
2011-05-26,40.7
2011-05-27,47.36
2011-05-28,64.38
2011-05-29,74.0
2011-05-30,67.34
2011-05-31,48.839999999999996
2011-06-01,47.559999999999995
2011-06-02,52.48
2011-06-03,49.199999999999996
2011-06-04,68.06
2011-06-05,72.16
2011-06-06,49.199999999999996
2011-06-07,48.379999999999995
2011-06-08,49.199999999999996
2011-06-09,49.199999999999996
2011-06-10,49.199999999999996
2011-06-11,68.88
2011-06-12,71.33999999999999
2011-06-13,52.48
2011-06-14,60.68
2011-06-15,50.019999999999996
2011-06-16,49.199999999999996
2011-06-17,53.3
2011-06-18,69.7
2011-06-19,76.25999999999999
2011-06-20,82.0
2011-06-21,52.48
2011-06-22,52.48
2011-06-23,50.839999999999996
2011-06-24,55.76
2011-06-25,68.88
2011-06-26,72.97999999999999
2011-06-27,54.12
2011-06-28,51.66
2011-06-29,51.66
2011-06-30,52.48
2011-07-01,55.68
2011-07-02,66.12
2011-07-03,72.21
2011-07-04,69.6
2011-07-05,53.07
2011-07-06,53.94
2011-07-07,53.07
2011-07-08,55.68
2011-07-09,68.73
2011-07-10,72.21
2011-07-11,52.2
2011-07-12,66.99
2011-07-13,87.0
2011-07-14,67.86
2011-07-15,59.16
2011-07-16,69.6
2011-07-17,85.26
2011-07-18,77.42999999999999
2011-07-19,53.94
2011-07-20,52.2
2011-07-21,54.81
2011-07-22,53.07
2011-07-23,64.38
2011-07-24,68.73
2011-07-25,53.07
2011-07-26,53.94
2011-07-27,53.07
2011-07-28,49.589999999999996
2011-07-29,53.07
2011-07-30,64.38
2011-07-31,69.6
2011-08-01,57.0
2011-08-02,55.480000000000004
2011-08-03,57.76
2011-08-04,51.68
2011-08-05,53.96
2011-08-06,68.4
2011-08-07,71.44
2011-08-08,54.72
2011-08-09,75.24
2011-08-10,53.2
2011-08-11,53.2
2011-08-12,52.44
2011-08-13,71.44
2011-08-14,76.0
2011-08-15,56.24
2011-08-16,56.24
2011-08-17,53.96
2011-08-18,53.96
2011-08-19,55.480000000000004
2011-08-20,71.44
2011-08-21,74.48
2011-08-22,55.480000000000004
2011-08-23,50.92
2011-08-24,49.4
2011-08-25,50.160000000000004
2011-08-26,59.28
2011-08-27,73.72
2011-08-28,75.24
2011-08-29,50.92
2011-08-30,50.160000000000004
2011-08-31,50.160000000000004
2011-09-01,48.839999999999996
2011-09-02,53.28
2011-09-03,66.6
2011-09-04,71.03999999999999
2011-09-05,72.52
2011-09-06,50.32
2011-09-07,48.839999999999996
2011-09-08,43.66
2011-09-09,45.88
2011-09-10,67.34
2011-09-11,67.34
2011-09-12,48.1
2011-09-13,44.4
2011-09-14,43.66
2011-09-15,46.62
2011-09-16,51.8
2011-09-17,71.03999999999999
2011-09-18,65.12
2011-09-19,69.56
2011-09-20,60.68
2011-09-21,48.839999999999996
2011-09-22,48.1
2011-09-23,46.62
2011-09-24,66.6
2011-09-25,74.0
2011-09-26,48.1
2011-09-27,42.18
2011-09-28,45.88
2011-09-29,42.92
2011-09-30,46.62
2011-10-01,55.88999999999999
2011-10-02,52.44
2011-10-03,36.57
2011-10-04,35.19
2011-10-05,33.809999999999995
2011-10-06,31.74
2011-10-07,35.879999999999995
2011-10-08,50.37
2011-10-09,69.0
