date,Walmart
2011-01-01,40.0
2011-01-02,36.0
2011-01-03,29.200000000000003
2011-01-04,27.200000000000003
2011-01-05,27.200000000000003
2011-01-06,26.8
2011-01-07,26.8
2011-01-08,32.4
2011-01-09,32.800000000000004
2011-01-10,28.0
2011-01-11,26.400000000000002
2011-01-12,25.6
2011-01-13,26.400000000000002
2011-01-14,27.6
2011-01-15,32.4
2011-01-16,33.6
2011-01-17,30.400000000000002
2011-01-18,25.6
2011-01-19,26.0
2011-01-20,25.6
2011-01-21,27.6
2011-01-22,33.2
2011-01-23,32.0
2011-01-24,27.6
2011-01-25,26.400000000000002
2011-01-26,25.6
2011-01-27,26.0
2011-01-28,27.6
2011-01-29,33.2
2011-01-30,34.0
2011-01-31,27.6
2011-02-01,28.86
2011-02-02,29.25
2011-02-03,29.64
2011-02-04,31.98
2011-02-05,39.0
2011-02-06,37.050000000000004
2011-02-07,28.470000000000002
2011-02-08,29.25
2011-02-09,29.25
2011-02-10,28.86
2011-02-11,31.200000000000003
2011-02-12,36.27
2011-02-13,38.61
2011-02-14,30.03
2011-02-15,28.470000000000002
2011-02-16,28.080000000000002
2011-02-17,29.64
2011-02-18,30.03
2011-02-19,36.660000000000004
2011-02-20,35.88
2011-02-21,31.98
2011-02-22,27.69
2011-02-23,27.69
2011-02-24,28.080000000000002
2011-02-25,29.25
2011-02-26,35.1
2011-02-27,35.49
2011-02-28,28.080000000000002
2011-03-01,29.88
2011-03-02,27.72
2011-03-03,27.72
2011-03-04,28.799999999999997
2011-03-05,36.0
2011-03-06,35.28
2011-03-07,28.799999999999997
2011-03-08,27.0
2011-03-09,26.64
2011-03-10,27.72
2011-03-11,29.16
2011-03-12,32.04
2011-03-13,29.52
2011-03-14,27.72
2011-03-15,26.64
2011-03-16,27.0
2011-03-17,27.72
2011-03-18,28.439999999999998
2011-03-19,33.12
2011-03-20,33.839999999999996
2011-03-21,29.16
2011-03-22,27.36
2011-03-23,27.72
2011-03-24,27.36
2011-03-25,29.52
2011-03-26,33.839999999999996
2011-03-27,35.28
2011-03-28,28.799999999999997
2011-03-29,29.88
2011-03-30,28.439999999999998
2011-03-31,27.36
2011-04-01,23.4
2011-04-02,27.0
2011-04-03,28.439999999999998
2011-04-04,23.04
2011-04-05,22.32
2011-04-06,21.96
2011-04-07,23.04
2011-04-08,22.32
2011-04-09,27.36
2011-04-10,28.08
2011-04-11,24.119999999999997
2011-04-12,22.32
2011-04-13,22.32
2011-04-14,22.32
2011-04-15,23.759999999999998
2011-04-16,27.0
2011-04-17,28.08
2011-04-18,23.4
2011-04-19,22.68
2011-04-20,23.04
2011-04-21,22.68
2011-04-22,25.2
2011-04-23,28.08
2011-04-24,36.0
2011-04-25,24.48
2011-04-26,21.599999999999998
2011-04-27,21.599999999999998
2011-04-28,22.32
2011-04-29,21.599999999999998
2011-04-30,27.0
2011-05-01,31.200000000000003
2011-05-02,23.79
2011-05-03,24.18
2011-05-04,25.35
2011-05-05,24.57
2011-05-06,26.91
2011-05-07,31.200000000000003
2011-05-08,30.42
2011-05-09,25.740000000000002
2011-05-10,25.35
2011-05-11,25.35
2011-05-12,24.96
2011-05-13,26.91
2011-05-14,30.810000000000002
2011-05-15,31.98
2011-05-16,25.740000000000002
2011-05-17,24.96
2011-05-18,26.130000000000003
2011-05-19,26.91
2011-05-20,25.740000000000002
2011-05-21,29.64
2011-05-22,33.54
2011-05-23,29.25
