date,sba loans
2011-01-01,3.5
2011-01-02,1.4500000000000002
2011-01-03,3.85
2011-01-04,1.1
2011-01-05,3.5500000000000003
2011-01-06,3.25
2011-01-07,1.4500000000000002
2011-01-08,1.35
2011-01-09,4.75
2011-01-10,2.1
2011-01-11,4.800000000000001
2011-01-12,2.75
2011-01-13,4.25
2011-01-14,2.85
2011-01-15,1.8
2011-01-16,1.35
2011-01-17,2.9000000000000004
2011-01-18,2.0500000000000003
2011-01-19,2.75
2011-01-20,2.4000000000000004
2011-01-21,3.2
2011-01-22,2.0
2011-01-23,1.8
2011-01-24,3.45
2011-01-25,4.4
2011-01-26,4.75
2011-01-27,4.1000000000000005
2011-01-28,5.0
2011-01-29,1.9500000000000002
2011-01-30,1.7000000000000002
2011-01-31,4.2
2011-02-01,3.5
2011-02-02,2.0500000000000003
2011-02-03,3.4000000000000004
2011-02-04,3.0
2011-02-05,2.0
2011-02-06,1.35
2011-02-07,2.1
2011-02-08,2.3000000000000003
2011-02-09,2.9000000000000004
2011-02-10,2.4000000000000004
2011-02-11,5.0
2011-02-12,2.1
2011-02-13,1.05
2011-02-14,1.6
2011-02-15,1.85
2011-02-16,3.1500000000000004
2011-02-17,1.6
2011-02-18,1.6500000000000001
2011-02-19,2.0500000000000003
2011-02-20,1.05
2011-02-21,1.6500000000000001
2011-02-22,2.6
2011-02-23,1.05
2011-02-24,1.85
2011-02-25,1.6500000000000001
2011-02-26,2.0500000000000003
2011-02-27,1.7000000000000002
2011-02-28,3.35
2011-03-01,2.36
2011-03-02,1.96
2011-03-03,4.0
2011-03-04,1.6400000000000001
2011-03-05,1.52
2011-03-06,1.0
2011-03-07,2.12
2011-03-08,2.6
2011-03-09,1.96
2011-03-10,2.36
2011-03-11,3.16
2011-03-12,2.7600000000000002
2011-03-13,2.2800000000000002
2011-03-14,0.88
2011-03-15,3.36
2011-03-16,2.64
2011-03-17,1.6400000000000001
2011-03-18,3.04
2011-03-19,3.84
2011-03-20,2.6
2011-03-21,2.88
2011-03-22,2.08
2011-03-23,2.6
2011-03-24,2.0
2011-03-25,1.6400000000000001
2011-03-26,2.04
2011-03-27,2.04
2011-03-28,2.32
2011-03-29,2.32
2011-03-30,1.28
2011-03-31,3.16
2011-04-01,0.0
2011-04-02,1.6199999999999999
