date,Oracle
2011-01-01,15.66
2011-01-02,22.62
2011-01-03,53.07
2011-01-04,72.21
2011-01-05,77.42999999999999
2011-01-06,76.56
2011-01-07,67.86
2011-01-08,32.19
2011-01-09,29.58
2011-01-10,73.95
2011-01-11,73.95
2011-01-12,80.04
2011-01-13,84.39
2011-01-14,67.86
2011-01-15,25.23
2011-01-16,23.49
2011-01-17,53.94
2011-01-18,73.08
2011-01-19,74.82
2011-01-20,77.42999999999999
2011-01-21,72.21
2011-01-22,26.97
2011-01-23,24.36
2011-01-24,69.6
2011-01-25,87.0
2011-01-26,74.82
2011-01-27,68.73
2011-01-28,80.04
2011-01-29,27.84
2011-01-30,21.75
2011-01-31,64.38
2011-02-01,77.19
2011-02-02,82.77000000000001
2011-02-03,82.77000000000001
2011-02-04,80.91000000000001
2011-02-05,29.76
2011-02-06,26.970000000000002
2011-02-07,67.89
2011-02-08,87.42
2011-02-09,92.07000000000001
2011-02-10,79.98
2011-02-11,91.14
2011-02-12,23.25
2011-02-13,32.550000000000004
2011-02-14,75.33
2011-02-15,88.35000000000001
2011-02-16,93.0
2011-02-17,84.63000000000001
2011-02-18,76.26
2011-02-19,33.480000000000004
2011-02-20,33.480000000000004
2011-02-21,66.96000000000001
2011-02-22,77.19
2011-02-23,85.56
2011-02-24,88.35000000000001
2011-02-25,83.7
2011-02-26,39.06
2011-02-27,32.550000000000004
2011-02-28,75.33
2011-03-01,94.0
2011-03-02,96.0
2011-03-03,91.0
2011-03-04,84.0
2011-03-05,40.0
2011-03-06,31.0
2011-03-07,86.0
2011-03-08,85.0
2011-03-09,93.0
2011-03-10,85.0
2011-03-11,81.0
2011-03-12,31.0
2011-03-13,26.0
2011-03-14,87.0
2011-03-15,92.0
2011-03-16,90.0
2011-03-17,89.0
2011-03-18,85.0
2011-03-19,36.0
2011-03-20,29.0
2011-03-21,82.0
2011-03-22,90.0
2011-03-23,100.0
2011-03-24,95.0
2011-03-25,93.0
2011-03-26,34.0
2011-03-27,35.0
2011-03-28,94.0
2011-03-29,96.0
2011-03-30,93.0
2011-03-31,93.0
2011-04-01,82.64999999999999
2011-04-02,32.3
2011-04-03,21.849999999999998
2011-04-04,77.89999999999999
2011-04-05,91.19999999999999
2011-04-06,94.05
2011-04-07,84.55
2011-04-08,82.64999999999999
2011-04-09,29.45
2011-04-10,27.549999999999997
2011-04-11,74.1
2011-04-12,92.14999999999999
2011-04-13,94.05
2011-04-14,95.0
2011-04-15,83.6
2011-04-16,34.199999999999996
2011-04-17,26.599999999999998
2011-04-18,79.8
2011-04-19,95.0
2011-04-20,91.19999999999999
2011-04-21,88.35
2011-04-22,69.35
2011-04-23,28.5
2011-04-24,33.25
2011-04-25,81.7
2011-04-26,92.14999999999999
2011-04-27,90.25
2011-04-28,86.45
2011-04-29,74.1
2011-04-30,29.45
2011-05-01,25.81
2011-05-02,72.09
2011-05-03,78.32000000000001
2011-05-04,80.99
2011-05-05,80.1
2011-05-06,72.09
2011-05-07,28.48
2011-05-08,24.92
2011-05-09,78.32000000000001
2011-05-10,88.11
2011-05-11,80.99
2011-05-12,89.0
2011-05-13,73.87
2011-05-14,23.14
2011-05-15,28.48
2011-05-16,78.32000000000001
2011-05-17,79.21000000000001
2011-05-18,82.77
2011-05-19,82.77
2011-05-20,77.43
2011-05-21,29.37
2011-05-22,23.14
2011-05-23,72.09
2011-05-24,82.77
2011-05-25,79.21000000000001
2011-05-26,76.54
2011-05-27,68.53
2011-05-28,25.81
2011-05-29,20.47
2011-05-30,32.04
2011-05-31,69.42
2011-06-01,91.17999999999999
2011-06-02,89.24
2011-06-03,80.50999999999999
2011-06-04,28.13
2011-06-05,31.04
2011-06-06,73.72
2011-06-07,96.03
2011-06-08,87.3
2011-06-09,82.45
2011-06-10,79.53999999999999
2011-06-11,26.189999999999998
2011-06-12,26.189999999999998
2011-06-13,76.63
2011-06-14,92.14999999999999
2011-06-15,95.06
2011-06-16,92.14999999999999
2011-06-17,79.53999999999999
2011-06-18,34.92
2011-06-19,32.98
2011-06-20,74.69
2011-06-21,92.14999999999999
2011-06-22,79.53999999999999
2011-06-23,93.12
2011-06-24,84.39
2011-06-25,27.16
2011-06-26,24.25
2011-06-27,73.72
2011-06-28,85.36
2011-06-29,97.0
2011-06-30,92.14999999999999
2011-07-01,61.199999999999996
2011-07-02,21.25
2011-07-03,20.4
2011-07-04,30.599999999999998
2011-07-05,67.14999999999999
2011-07-06,81.6
2011-07-07,72.25
2011-07-08,65.45
2011-07-09,27.2
2011-07-10,19.55
2011-07-11,68.0
2011-07-12,77.35
2011-07-13,71.39999999999999
2011-07-14,69.7
2011-07-15,69.7
2011-07-16,25.5
2011-07-17,23.8
2011-07-18,71.39999999999999
2011-07-19,85.0
2011-07-20,81.6
2011-07-21,72.25
2011-07-22,74.8
2011-07-23,23.8
2011-07-24,23.8
2011-07-25,68.0
2011-07-26,74.8
2011-07-27,78.2
2011-07-28,82.45
2011-07-29,62.9
2011-07-30,27.2
2011-07-31,24.65
2011-08-01,75.53
2011-08-02,89.18
2011-08-03,91.0
2011-08-04,85.54
2011-08-05,78.26
2011-08-06,26.39
2011-08-07,30.94
2011-08-08,78.26
2011-08-09,90.09
2011-08-10,89.18
2011-08-11,90.09
2011-08-12,75.53
2011-08-13,29.12
2011-08-14,30.03
2011-08-15,70.98
2011-08-16,91.0
2011-08-17,82.81
2011-08-18,78.26
2011-08-19,76.44
2011-08-20,29.12
2011-08-21,31.85
2011-08-22,83.72
2011-08-23,83.72
2011-08-24,90.09
2011-08-25,90.09
2011-08-26,68.25
2011-08-27,22.75
2011-08-28,26.39
2011-08-29,78.26
2011-08-30,90.09
2011-08-31,83.72
2011-09-01,82.72
2011-09-02,66.88
2011-09-03,25.52
2011-09-04,22.88
2011-09-05,31.68
2011-09-06,73.04
2011-09-07,79.2
2011-09-08,82.72
2011-09-09,78.32000000000001
2011-09-10,28.16
2011-09-11,24.64
2011-09-12,80.08
2011-09-13,84.48
2011-09-14,78.32000000000001
2011-09-15,78.32000000000001
2011-09-16,73.04
2011-09-17,29.04
2011-09-18,25.52
2011-09-19,73.92
2011-09-20,77.44
2011-09-21,88.0
2011-09-22,83.6
2011-09-23,73.92
2011-09-24,29.92
2011-09-25,26.4
2011-09-26,74.8
2011-09-27,85.36
2011-09-28,84.48
2011-09-29,88.0
2011-09-30,79.2
2011-10-01,32.56
2011-10-02,32.56
2011-10-03,88.0
2011-10-04,80.08
2011-10-05,84.48
2011-10-06,84.48
2011-10-07,73.92
2011-10-08,32.56
2011-10-09,22.88
2011-10-10,66.0
2011-10-11,80.08
2011-10-12,73.92
2011-10-13,76.56
2011-10-14,73.92
2011-10-15,28.16
2011-10-16,25.52
2011-10-17,73.04
2011-10-18,85.36
2011-10-19,83.6
2011-10-20,79.2
2011-10-21,75.68
2011-10-22,25.52
2011-10-23,23.76
2011-10-24,80.08
2011-10-25,81.84
2011-10-26,72.16
2011-10-27,74.8
2011-10-28,65.12
2011-10-29,22.88
2011-10-30,24.64
2011-10-31,63.36
2011-11-01,68.64
2011-11-02,78.0
2011-11-03,74.10000000000001
2011-11-04,66.3
2011-11-05,23.400000000000002
2011-11-06,25.740000000000002
2011-11-07,60.84
2011-11-08,72.54
2011-11-09,70.2
2011-11-10,70.2
2011-11-11,60.06
2011-11-12,25.740000000000002
2011-11-13,24.18
2011-11-14,64.74000000000001
2011-11-15,69.42
2011-11-16,73.32000000000001
2011-11-17,72.54
2011-11-18,60.06
2011-11-19,21.84
2011-11-20,22.62
2011-11-21,60.84
2011-11-22,62.400000000000006
2011-11-23,60.84
2011-11-24,28.86
2011-11-25,22.62
2011-11-26,17.94
2011-11-27,16.38
2011-11-28,58.5
2011-11-29,63.96
2011-11-30,67.08
2011-12-01,69.0
2011-12-02,60.029999999999994
2011-12-03,27.599999999999998
2011-12-04,21.389999999999997
2011-12-05,58.65
2011-12-06,65.55
2011-12-07,66.24
2011-12-08,62.78999999999999
2011-12-09,60.029999999999994
2011-12-10,23.459999999999997
2011-12-11,21.389999999999997
2011-12-12,58.65
2011-12-13,66.24
2011-12-14,64.86
2011-12-15,64.17
2011-12-16,57.269999999999996
2011-12-17,22.08
2011-12-18,17.25
2011-12-19,53.81999999999999
2011-12-20,64.17
2011-12-21,63.48
2011-12-22,55.199999999999996
2011-12-23,37.949999999999996
2011-12-24,20.009999999999998
2011-12-25,14.489999999999998
2011-12-26,22.08
2011-12-27,40.019999999999996
2011-12-28,40.019999999999996
2011-12-29,43.47
2011-12-30,35.879999999999995
2011-12-31,18.63
2012-01-01,15.4
2012-01-02,25.41
2012-01-03,55.44
2012-01-04,68.53
2012-01-05,66.99
2012-01-06,60.83
2012-01-07,25.41
2012-01-08,24.64
2012-01-09,66.22
2012-01-10,72.38
2012-01-11,71.61
2012-01-12,70.84
2012-01-13,61.6
2012-01-14,25.41
2012-01-15,19.25
2012-01-16,43.89
2012-01-17,64.68
2012-01-18,67.76
2012-01-19,73.15
2012-01-20,70.84
2012-01-21,28.490000000000002
2012-01-22,25.41
2012-01-23,61.6
2012-01-24,73.15
2012-01-25,69.3
2012-01-26,72.38
2012-01-27,71.61
2012-01-28,27.72
2012-01-29,24.64
2012-01-30,71.61
2012-01-31,77.0
2012-02-01,77.19
2012-02-02,73.86999999999999
2012-02-03,72.21
2012-02-04,23.24
2012-02-05,19.09
2012-02-06,63.08
2012-02-07,77.19
2012-02-08,72.21
2012-02-09,83.0
2012-02-10,73.03999999999999
2012-02-11,30.709999999999997
2012-02-12,21.58
2012-02-13,66.39999999999999
2012-02-14,74.7
2012-02-15,72.21
2012-02-16,69.72
2012-02-17,72.21
2012-02-18,24.07
2012-02-19,25.73
2012-02-20,46.48
2012-02-21,73.03999999999999
2012-02-22,74.7
2012-02-23,67.22999999999999
2012-02-24,68.89
2012-02-25,29.049999999999997
2012-02-26,26.56
2012-02-27,57.269999999999996
2012-02-28,71.38
2012-02-29,68.89
2012-03-01,82.0
2012-03-02,78.72
2012-03-03,27.88
2012-03-04,28.7
2012-03-05,77.08
2012-03-06,79.53999999999999
2012-03-07,73.8
2012-03-08,76.25999999999999
2012-03-09,72.97999999999999
2012-03-10,27.06
2012-03-11,23.779999999999998
2012-03-12,72.16
2012-03-13,82.0
2012-03-14,75.44
2012-03-15,74.61999999999999
2012-03-16,66.42
2012-03-17,26.24
2012-03-18,24.599999999999998
2012-03-19,76.25999999999999
2012-03-20,74.61999999999999
2012-03-21,79.53999999999999
2012-03-22,72.16
2012-03-23,63.959999999999994
2012-03-24,26.24
2012-03-25,25.419999999999998
2012-03-26,76.25999999999999
2012-03-27,81.17999999999999
2012-03-28,80.36
2012-03-29,77.08
2012-03-30,66.42
2012-03-31,27.06
2012-04-01,25.110000000000003
2012-04-02,63.18000000000001
2012-04-03,72.09
2012-04-04,69.66000000000001
2012-04-05,62.370000000000005
2012-04-06,55.080000000000005
2012-04-07,23.490000000000002
2012-04-08,23.490000000000002
2012-04-09,63.99
2012-04-10,81.0
2012-04-11,72.09
2012-04-12,70.47
2012-04-13,59.940000000000005
2012-04-14,28.35
2012-04-15,21.060000000000002
2012-04-16,68.04
2012-04-17,74.52000000000001
2012-04-18,77.76
2012-04-19,68.85000000000001
2012-04-20,66.42
2012-04-21,25.110000000000003
2012-04-22,24.3
2012-04-23,69.66000000000001
2012-04-24,72.9
2012-04-25,76.95
2012-04-26,72.9
2012-04-27,64.80000000000001
2012-04-28,26.73
2012-04-29,25.92
2012-04-30,63.99
2012-05-01,78.2
2012-05-02,77.35
2012-05-03,80.75
2012-05-04,73.1
2012-05-05,25.5
2012-05-06,23.8
2012-05-07,78.2
2012-05-08,77.35
2012-05-09,80.75
2012-05-10,80.75
2012-05-11,73.95
2012-05-12,29.75
2012-05-13,23.8
2012-05-14,78.2
2012-05-15,81.6
2012-05-16,83.3
2012-05-17,79.05
2012-05-18,73.95
2012-05-19,30.599999999999998
2012-05-20,23.8
2012-05-21,73.1
2012-05-22,85.0
2012-05-23,76.5
2012-05-24,82.45
2012-05-25,67.14999999999999
2012-05-26,24.65
2012-05-27,21.25
2012-05-28,28.9
2012-05-29,71.39999999999999
2012-05-30,79.89999999999999
2012-05-31,76.5
2012-06-01,63.0
2012-06-02,21.0
2012-06-03,24.36
2012-06-04,73.92
2012-06-05,69.72
2012-06-06,73.92
2012-06-07,73.92
2012-06-08,61.32
2012-06-09,21.0
2012-06-10,22.68
2012-06-11,59.64
2012-06-12,73.92
2012-06-13,72.24
2012-06-14,70.56
2012-06-15,63.0
2012-06-16,25.2
2012-06-17,21.84
2012-06-18,67.2
2012-06-19,81.48
2012-06-20,71.39999999999999
2012-06-21,84.0
2012-06-22,68.03999999999999
2012-06-23,26.04
2012-06-24,25.2
2012-06-25,66.36
2012-06-26,73.08
2012-06-27,70.56
2012-06-28,64.67999999999999
2012-06-29,59.64
2012-06-30,23.52
2012-07-01,25.92
2012-07-02,65.61
2012-07-03,71.28
2012-07-04,37.260000000000005
2012-07-05,68.85000000000001
2012-07-06,63.18000000000001
2012-07-07,25.92
2012-07-08,27.540000000000003
2012-07-09,66.42
2012-07-10,72.09
2012-07-11,78.57000000000001
2012-07-12,76.95
2012-07-13,68.04
2012-07-14,25.110000000000003
2012-07-15,23.490000000000002
2012-07-16,72.09
2012-07-17,76.14
2012-07-18,81.0
2012-07-19,73.71000000000001
2012-07-20,61.56
2012-07-21,27.540000000000003
2012-07-22,22.68
2012-07-23,68.85000000000001
2012-07-24,73.71000000000001
2012-07-25,74.52000000000001
2012-07-26,72.09
2012-07-27,66.42
2012-07-28,22.68
2012-07-29,24.3
2012-07-30,67.23
2012-07-31,72.09
2012-08-01,66.36
2012-08-02,63.839999999999996
2012-08-03,62.16
2012-08-04,19.32
2012-08-05,22.68
2012-08-06,63.0
2012-08-07,74.75999999999999
2012-08-08,68.88
2012-08-09,70.56
2012-08-10,57.12
2012-08-11,21.84
2012-08-12,26.04
2012-08-13,63.839999999999996
2012-08-14,73.92
2012-08-15,76.44
2012-08-16,68.03999999999999
2012-08-17,62.16
2012-08-18,28.56
2012-08-19,22.68
2012-08-20,63.0
2012-08-21,66.36
2012-08-22,67.2
2012-08-23,71.39999999999999
2012-08-24,58.8
2012-08-25,23.52
2012-08-26,27.72
2012-08-27,60.48
2012-08-28,74.75999999999999
2012-08-29,84.0
2012-08-30,73.92
2012-08-31,58.8
2012-09-01,22.41
2012-09-02,23.24
2012-09-03,31.54
2012-09-04,68.06
2012-09-05,75.53
2012-09-06,73.86999999999999
2012-09-07,74.7
2012-09-08,24.9
2012-09-09,26.56
2012-09-10,73.86999999999999
2012-09-11,82.17
2012-09-12,76.36
2012-09-13,77.19
2012-09-14,71.38
2012-09-15,29.049999999999997
2012-09-16,25.73
2012-09-17,69.72
2012-09-18,76.36
2012-09-19,83.0
2012-09-20,78.02
2012-09-21,74.7
2012-09-22,25.73
2012-09-23,25.73
2012-09-24,71.38
2012-09-25,79.67999999999999
2012-09-26,80.50999999999999
2012-09-27,83.0
2012-09-28,71.38
2012-09-29,34.03
2012-09-30,36.519999999999996
2012-10-01,81.33999999999999
2012-10-02,73.86999999999999
2012-10-03,73.86999999999999
2012-10-04,68.06
2012-10-05,68.89
2012-10-06,24.9
2012-10-07,24.07
2012-10-08,60.589999999999996
2012-10-09,65.57
2012-10-10,75.53
2012-10-11,68.89
2012-10-12,62.25
2012-10-13,18.259999999999998
2012-10-14,21.58
2012-10-15,58.93
2012-10-16,65.57
2012-10-17,83.0
2012-10-18,64.74
2012-10-19,68.06
2012-10-20,30.709999999999997
2012-10-21,25.73
2012-10-22,60.589999999999996
2012-10-23,64.74
2012-10-24,63.91
2012-10-25,68.06
2012-10-26,52.29
2012-10-27,20.75
2012-10-28,16.599999999999998
2012-10-29,50.629999999999995
2012-10-30,48.14
