date,Procter & Gamble
2011-01-01,26.88
2011-01-02,32.64
2011-01-03,17.28
2011-01-04,33.28
2011-01-05,0.0
2011-01-06,33.28
2011-01-07,33.92
2011-01-08,21.12
2011-01-09,21.12
2011-01-10,32.64
2011-01-11,48.0
2011-01-12,32.64
2011-01-13,32.64
2011-01-14,16.64
2011-01-15,41.6
2011-01-16,21.76
2011-01-17,50.56
2011-01-18,23.68
2011-01-19,32.0
2011-01-20,32.0
2011-01-21,32.64
2011-01-22,20.48
2011-01-23,20.48
2011-01-24,32.0
2011-01-25,39.04
2011-01-26,39.68
2011-01-27,64.0
2011-01-28,16.64
2011-01-29,0.0
2011-01-30,19.84
2011-01-31,15.36
2011-02-01,56.879999999999995
2011-02-02,46.08
2011-02-03,47.519999999999996
2011-02-04,24.48
2011-02-05,30.24
2011-02-06,30.24
2011-02-07,23.759999999999998
2011-02-08,23.759999999999998
2011-02-09,24.48
2011-02-10,24.48
2011-02-11,63.36
2011-02-12,47.519999999999996
2011-02-13,0.0
2011-02-14,36.72
2011-02-15,36.0
2011-02-16,36.0
2011-02-17,48.239999999999995
2011-02-18,38.16
2011-02-19,31.68
2011-02-20,31.68
2011-02-21,63.36
2011-02-22,36.0
2011-02-23,72.0
2011-02-24,23.759999999999998
2011-02-25,61.919999999999995
2011-02-26,30.959999999999997
2011-02-27,30.959999999999997
2011-02-28,47.519999999999996
2011-03-01,66.64
2011-03-02,25.16
2011-03-03,68.0
2011-03-04,17.68
2011-03-05,21.76
2011-03-06,0.0
2011-03-07,34.0
2011-03-08,33.32
2011-03-09,41.480000000000004
2011-03-10,42.160000000000004
2011-03-11,17.0
2011-03-12,0.0
2011-03-13,23.8
2011-03-14,47.6
2011-03-15,44.2
2011-03-16,42.160000000000004
2011-03-17,17.0
2011-03-18,18.360000000000003
2011-03-19,22.44
2011-03-20,0.0
2011-03-21,33.32
2011-03-22,41.480000000000004
2011-03-23,16.32
2011-03-24,67.32000000000001
2011-03-25,52.36000000000001
2011-03-26,21.76
2011-03-27,43.52
2011-03-28,32.64
2011-03-29,33.32
2011-03-30,33.32
2011-03-31,49.64
2011-04-01,35.25
2011-04-02,22.5
2011-04-03,45.0
2011-04-04,41.25
2011-04-05,41.25
2011-04-06,50.25
2011-04-07,58.5
2011-04-08,17.25
2011-04-09,33.0
2011-04-10,33.75
2011-04-11,16.5
