date,The Home Depot
2011-01-01,15.84
2011-01-02,14.399999999999999
2011-01-03,14.94
2011-01-04,13.68
2011-01-05,15.299999999999999
2011-01-06,9.719999999999999
2011-01-07,13.5
2011-01-08,14.04
2011-01-09,13.86
2011-01-10,12.6
2011-01-11,11.7
2011-01-12,12.6
2011-01-13,9.9
2011-01-14,11.16
2011-01-15,16.74
2011-01-16,17.82
2011-01-17,17.28
2011-01-18,12.78
2011-01-19,10.98
2011-01-20,13.68
2011-01-21,10.98
2011-01-22,13.68
2011-01-23,18.0
2011-01-24,17.82
2011-01-25,11.34
2011-01-26,12.24
2011-01-27,11.52
2011-01-28,13.32
2011-01-29,16.56
2011-01-30,16.02
2011-01-31,13.139999999999999
2011-02-01,13.5
2011-02-02,9.54
2011-02-03,11.7
2011-02-04,14.04
2011-02-05,14.219999999999999
2011-02-06,10.98
2011-02-07,14.399999999999999
2011-02-08,13.5
2011-02-09,12.6
2011-02-10,12.78
2011-02-11,15.299999999999999
2011-02-12,14.399999999999999
2011-02-13,16.2
2011-02-14,14.76
2011-02-15,10.799999999999999
2011-02-16,18.0
2011-02-17,11.16
2011-02-18,16.56
2011-02-19,16.2
2011-02-20,16.56
2011-02-21,16.38
2011-02-22,16.38
2011-02-23,11.52
2011-02-24,14.399999999999999
2011-02-25,12.959999999999999
2011-02-26,15.66
2011-02-27,16.919999999999998
2011-02-28,16.74
2011-03-01,13.68
2011-03-02,11.78
2011-03-03,10.45
2011-03-04,12.16
2011-03-05,19.0
2011-03-06,15.01
2011-03-07,12.16
2011-03-08,11.78
2011-03-09,12.540000000000001
2011-03-10,13.3
2011-03-11,10.64
2011-03-12,13.3
2011-03-13,10.26
2011-03-14,11.97
2011-03-15,13.11
2011-03-16,11.4
2011-03-17,11.4
2011-03-18,12.540000000000001
2011-03-19,15.96
2011-03-20,13.870000000000001
2011-03-21,16.34
2011-03-22,17.1
2011-03-23,14.82
2011-03-24,15.2
2011-03-25,12.35
2011-03-26,18.62
2011-03-27,17.86
2011-03-28,14.82
2011-03-29,18.43
2011-03-30,13.49
2011-03-31,12.540000000000001
2011-04-01,14.0
2011-04-02,13.600000000000001
2011-04-03,16.400000000000002
2011-04-04,12.200000000000001
2011-04-05,13.200000000000001
2011-04-06,10.8
2011-04-07,11.4
2011-04-08,12.600000000000001
2011-04-09,16.0
2011-04-10,20.0
2011-04-11,14.600000000000001
2011-04-12,13.8
2011-04-13,14.200000000000001
2011-04-14,8.6
2011-04-15,11.200000000000001
2011-04-16,12.0
2011-04-17,14.4
2011-04-18,13.8
2011-04-19,11.0
2011-04-20,9.200000000000001
2011-04-21,12.0
2011-04-22,13.0
2011-04-23,13.0
2011-04-24,18.6
2011-04-25,11.4
2011-04-26,12.8
2011-04-27,12.0
2011-04-28,11.8
2011-04-29,12.4
2011-04-30,13.8
2011-05-01,21.16
2011-05-02,16.330000000000002
2011-05-03,14.26
2011-05-04,13.8
2011-05-05,14.49
2011-05-06,15.64
2011-05-07,16.330000000000002
2011-05-08,19.55
2011-05-09,17.02
2011-05-10,14.950000000000001
2011-05-11,15.41
2011-05-12,13.8
2011-05-13,16.79
2011-05-14,14.950000000000001
2011-05-15,14.72
2011-05-16,15.41
2011-05-17,13.8
2011-05-18,14.950000000000001
2011-05-19,12.190000000000001
2011-05-20,13.57
2011-05-21,16.560000000000002
2011-05-22,20.01
2011-05-23,15.41
2011-05-24,19.78
2011-05-25,16.330000000000002
2011-05-26,20.01
2011-05-27,17.02
2011-05-28,20.01
2011-05-29,22.080000000000002
2011-05-30,23.0
2011-05-31,15.41
2011-06-01,16.28
2011-06-02,13.86
2011-06-03,12.98
2011-06-04,14.08
2011-06-05,22.0
2011-06-06,15.84
2011-06-07,17.38
2011-06-08,12.98
2011-06-09,12.1
2011-06-10,16.72
2011-06-11,20.9
2011-06-12,20.24
2011-06-13,17.82
2011-06-14,15.84
2011-06-15,16.06
2011-06-16,18.7
2011-06-17,13.42
2011-06-18,18.26
2011-06-19,20.46
2011-06-20,14.96
2011-06-21,14.08
2011-06-22,16.5
2011-06-23,16.28
2011-06-24,16.72
2011-06-25,13.86
2011-06-26,20.02
2011-06-27,14.08
2011-06-28,16.06
2011-06-29,16.06
2011-06-30,15.62
2011-07-01,16.5
2011-07-02,18.7
2011-07-03,19.8
2011-07-04,20.46
2011-07-05,12.76
2011-07-06,22.0
2011-07-07,13.86
2011-07-08,12.32
2011-07-09,11.66
2011-07-10,16.72
2011-07-11,12.76
2011-07-12,14.96
2011-07-13,15.4
2011-07-14,16.28
2011-07-15,12.76
2011-07-16,16.06
2011-07-17,19.14
2011-07-18,13.64
2011-07-19,12.540000000000001
2011-07-20,12.76
2011-07-21,15.84
2011-07-22,13.2
2011-07-23,17.6
2011-07-24,18.48
2011-07-25,13.64
2011-07-26,15.18
2011-07-27,11.44
2011-07-28,13.64
2011-07-29,11.22
2011-07-30,16.5
2011-07-31,12.98
2011-08-01,18.48
2011-08-02,16.169999999999998
2011-08-03,12.809999999999999
2011-08-04,15.75
2011-08-05,14.49
2011-08-06,16.38
2011-08-07,16.59
2011-08-08,18.06
2011-08-09,15.33
2011-08-10,16.38
2011-08-11,15.54
2011-08-12,15.12
2011-08-13,15.12
2011-08-14,21.0
2011-08-15,17.009999999999998
2011-08-16,15.54
2011-08-17,15.33
2011-08-18,15.12
2011-08-19,15.12
2011-08-20,14.7
2011-08-21,16.169999999999998
2011-08-22,16.169999999999998
2011-08-23,12.6
2011-08-24,16.8
2011-08-25,13.02
2011-08-26,18.06
2011-08-27,17.64
2011-08-28,18.689999999999998
2011-08-29,16.38
2011-08-30,17.849999999999998
2011-08-31,15.33
2011-09-01,15.33
2011-09-02,13.65
2011-09-03,16.8
2011-09-04,16.169999999999998
2011-09-05,21.0
2011-09-06,13.86
2011-09-07,13.44
2011-09-08,10.92
2011-09-09,11.549999999999999
2011-09-10,13.44
2011-09-11,13.65
2011-09-12,13.65
2011-09-13,11.76
2011-09-14,14.7
2011-09-15,10.08
2011-09-16,12.18
2011-09-17,13.86
2011-09-18,16.59
2011-09-19,11.34
2011-09-20,11.76
2011-09-21,11.549999999999999
2011-09-22,9.66
2011-09-23,9.45
2011-09-24,13.229999999999999
2011-09-25,15.75
2011-09-26,14.91
2011-09-27,11.76
2011-09-28,10.709999999999999
2011-09-29,10.709999999999999
2011-09-30,10.92
2011-10-01,16.919999999999998
2011-10-02,17.46
2011-10-03,18.0
2011-10-04,13.68
2011-10-05,11.16
2011-10-06,16.2
2011-10-07,14.399999999999999
2011-10-08,14.58
2011-10-09,11.7
2011-10-10,15.299999999999999
2011-10-11,12.959999999999999
2011-10-12,11.34
2011-10-13,10.44
2011-10-14,12.24
2011-10-15,14.399999999999999
2011-10-16,17.099999999999998
2011-10-17,12.959999999999999
2011-10-18,13.139999999999999
2011-10-19,13.68
2011-10-20,11.879999999999999
2011-10-21,13.32
2011-10-22,14.399999999999999
2011-10-23,15.479999999999999
2011-10-24,10.62
