date,UnitedHealth Group
2011-01-01,22.77
2011-01-02,57.269999999999996
2011-01-03,44.16
2011-01-04,14.489999999999998
2011-01-05,49.67999999999999
2011-01-06,28.29
2011-01-07,51.059999999999995
2011-01-08,17.939999999999998
2011-01-09,27.599999999999998
2011-01-10,28.29
2011-01-11,27.599999999999998
2011-01-12,13.799999999999999
2011-01-13,13.799999999999999
2011-01-14,0.0
2011-01-15,17.939999999999998
2011-01-16,17.939999999999998
2011-01-17,28.979999999999997
2011-01-18,27.599999999999998
2011-01-19,34.5
2011-01-20,41.4
2011-01-21,35.19
2011-01-22,17.25
2011-01-23,0.0
2011-01-24,69.0
2011-01-25,20.009999999999998
2011-01-26,33.809999999999995
2011-01-27,48.3
2011-01-28,49.67999999999999
2011-01-29,35.19
2011-01-30,17.25
2011-01-31,51.74999999999999
2011-02-01,29.26
2011-02-02,22.330000000000002
2011-02-03,23.1
2011-02-04,16.17
2011-02-05,19.25
2011-02-06,20.02
2011-02-07,30.8
2011-02-08,30.8
2011-02-09,62.370000000000005
2011-02-10,31.57
2011-02-11,33.11
2011-02-12,40.81
2011-02-13,52.36
2011-02-14,63.14
2011-02-15,62.370000000000005
2011-02-16,77.0
2011-02-17,23.87
2011-02-18,73.92
2011-02-19,20.02
2011-02-20,20.79
2011-02-21,56.980000000000004
2011-02-22,30.8
2011-02-23,53.9
2011-02-24,69.3
2011-02-25,40.04
2011-02-26,0.0
2011-02-27,50.050000000000004
2011-02-28,30.8
2011-03-01,48.0
2011-03-02,34.4
2011-03-03,56.800000000000004
2011-03-04,80.0
2011-03-05,26.400000000000002
2011-03-06,26.400000000000002
2011-03-07,55.2
2011-03-08,34.4
2011-03-09,61.6
2011-03-10,13.600000000000001
2011-03-11,48.800000000000004
2011-03-12,28.8
2011-03-13,29.6
2011-03-14,47.2
2011-03-15,44.0
2011-03-16,20.8
2011-03-17,36.0
2011-03-18,30.400000000000002
2011-03-19,18.400000000000002
2011-03-20,27.200000000000003
2011-03-21,40.800000000000004
2011-03-22,41.6
2011-03-23,33.6
2011-03-24,41.6
2011-03-25,21.6
2011-03-26,36.0
2011-03-27,17.6
2011-03-28,48.0
2011-03-29,55.2
2011-03-30,40.800000000000004
2011-03-31,20.8
2011-04-01,26.46
2011-04-02,34.02
2011-04-03,22.68
2011-04-04,33.480000000000004
2011-04-05,54.0
2011-04-06,34.02
2011-04-07,17.28
2011-04-08,8.64
2011-04-09,11.34
2011-04-10,17.28
2011-04-11,12.420000000000002
2011-04-12,8.100000000000001
2011-04-13,16.740000000000002
2011-04-14,34.56
2011-04-15,22.14
2011-04-16,10.8
2011-04-17,0.0
2011-04-18,21.060000000000002
2011-04-19,8.64
2011-04-20,29.700000000000003
2011-04-21,30.78
2011-04-22,9.18
