date,Verizon
2011-01-01,30.0
2011-01-02,32.0
2011-01-03,37.0
2011-01-04,35.0
2011-01-05,35.0
2011-01-06,38.0
2011-01-07,38.0
2011-01-08,47.0
2011-01-09,41.0
2011-01-10,47.0
2011-01-11,100.0
2011-01-12,60.0
2011-01-13,43.0
2011-01-14,38.0
2011-01-15,38.0
2011-01-16,38.0
2011-01-17,35.0
2011-01-18,33.0
2011-01-19,33.0
2011-01-20,32.0
2011-01-21,33.0
2011-01-22,32.0
2011-01-23,31.0
2011-01-24,34.0
2011-01-25,33.0
2011-01-26,32.0
2011-01-27,30.0
2011-01-28,32.0
2011-01-29,33.0
2011-01-30,31.0
2011-01-31,31.0
2011-02-01,56.7
2011-02-02,60.300000000000004
2011-02-03,90.0
2011-02-04,73.8
2011-02-05,63.9
2011-02-06,56.7
2011-02-07,64.8
2011-02-08,69.3
2011-02-09,74.7
2011-02-10,83.7
2011-02-11,78.3
2011-02-12,68.4
2011-02-13,64.8
2011-02-14,63.9
2011-02-15,59.4
2011-02-16,56.7
2011-02-17,56.7
2011-02-18,59.4
2011-02-19,58.5
2011-02-20,54.0
2011-02-21,54.9
2011-02-22,54.9
2011-02-23,53.1
2011-02-24,54.0
2011-02-25,56.7
2011-02-26,56.7
2011-02-27,51.300000000000004
2011-02-28,53.1
2011-03-01,70.84
2011-03-02,72.38
2011-03-03,72.38
2011-03-04,73.92
2011-03-05,72.38
2011-03-06,70.07000000000001
2011-03-07,71.61
2011-03-08,66.99
2011-03-09,65.45
2011-03-10,72.38
2011-03-11,70.84
2011-03-12,65.45
2011-03-13,59.29
2011-03-14,67.76
2011-03-15,70.07000000000001
2011-03-16,68.53
2011-03-17,70.84
2011-03-18,71.61
2011-03-19,69.3
2011-03-20,69.3
2011-03-21,77.0
2011-03-22,73.15
2011-03-23,67.76
2011-03-24,65.45
2011-03-25,69.3
2011-03-26,66.99
2011-03-27,66.22
2011-03-28,66.99
2011-03-29,67.76
2011-03-30,65.45
2011-03-31,65.45
2011-04-01,62.48
2011-04-02,62.48
2011-04-03,60.349999999999994
2011-04-04,58.93
2011-04-05,59.64
2011-04-06,61.769999999999996
2011-04-07,55.379999999999995
2011-04-08,60.349999999999994
2011-04-09,63.19
2011-04-10,54.669999999999995
2011-04-11,58.22
2011-04-12,60.349999999999994
2011-04-13,61.769999999999996
2011-04-14,61.059999999999995
2011-04-15,61.059999999999995
2011-04-16,61.769999999999996
2011-04-17,57.51
2011-04-18,58.22
2011-04-19,60.349999999999994
2011-04-20,58.93
2011-04-21,61.059999999999995
2011-04-22,61.059999999999995
2011-04-23,61.059999999999995
2011-04-24,52.54
2011-04-25,65.32
2011-04-26,65.32
2011-04-27,63.9
2011-04-28,71.0
2011-04-29,63.9
2011-04-30,64.61
2011-05-01,65.32
2011-05-02,63.9
2011-05-03,68.86999999999999
2011-05-04,67.45
2011-05-05,63.19
2011-05-06,63.9
2011-05-07,64.61
2011-05-08,59.64
2011-05-09,65.32
2011-05-10,64.61
2011-05-11,62.48
2011-05-12,61.769999999999996
2011-05-13,65.32
2011-05-14,71.0
2011-05-15,62.48
2011-05-16,66.03
2011-05-17,67.45
2011-05-18,65.32
2011-05-19,65.32
2011-05-20,70.28999999999999
2011-05-21,61.769999999999996
2011-05-22,63.19
2011-05-23,69.58
2011-05-24,65.32
2011-05-25,63.19
2011-05-26,66.74
2011-05-27,68.16
2011-05-28,67.45
2011-05-29,61.769999999999996
2011-05-30,62.48
2011-05-31,71.0
2011-06-01,68.4
2011-06-02,66.12
2011-06-03,65.36
2011-06-04,66.12
2011-06-05,60.04
2011-06-06,65.36
2011-06-07,66.88
2011-06-08,63.08
2011-06-09,66.12
2011-06-10,67.64
2011-06-11,66.12
2011-06-12,62.32
2011-06-13,67.64
2011-06-14,67.64
2011-06-15,69.92
2011-06-16,66.88
2011-06-17,69.92
2011-06-18,63.08
2011-06-19,60.04
2011-06-20,70.68
